Breast Cancer Type 1 Susceptibility Protein Measurement,Contralateral breast cancer,Tubular breast cancer,stage IIIA breast cancer,Locally advanced breast cancer,stage IIIB breast cancer,breast cancer diagnosis,estrogen receptor-positive breast cancer,bilateral breast cancer,stage IA breast cancer,progesterone receptor-negative breast cancer,Suspected breast cancer,progesterone receptor-positive breast cancer,Mucinous breast cancer,Lumpectomy (breast cancer),"cellular diagnosis, breast cancer",Family history of breast cancer,HER2-negative breast cancer,contralateral breast cancer,Breast Cancer Model,breast cancer prevention,Breast Cancer Surveillance Consortium,hormone receptor/growth factor receptor-negative breast cancer,allogeneic GM-CSF-secreting breast cancer vaccine,Breast cancer metastatic,Invasive ductal breast cancer,estrogen receptor-negative breast cancer,"stage, breast cancer",Breast Cancer Radiotherapy,Breast cancer invasive NOS,Advanced breast cancer diagnosis
HER2-negative breast cancer,Patients,Diagnostic radiologic examination,Pharmacotherapy,Puncture biopsy,Operative Surgical Procedures,Acquired Immunodeficiency Syndrome,ESR1,Breast Carcinoma,,ROS1 gene|ROS1,radical mastectomy,sirolimus,Mucin-2 Staining Method,Interstitial brachytherapy,MicroRNAs,Development of the breasts,Pharmacotherapy,Prognosis good,Invasive ductal breast cancer,Risk Reduction,,Molecular Targeted Therapy,Immunomodulators,breast cancer prevention,Pharmacotherapy,Antineoplastic Agents,Hypertensive disease,contralateral breast cancer,breast cancer diagnosis,"Receptors, Progesterone"
,clonality,Radial scar,Mastectomy,paclitaxel,Intra-Arterial Infusions,Sexual function,Neoadjuvant Therapy,Malignant neoplasm of breast,,Carpal Tunnel Syndrome,Diagnosis,COG2,Invasive ductal breast cancer,Brachytherapy,,Ovarian Carcinoma,pembrolizumab,Breast Carcinoma,,Estrogen Antagonists,,Biological Response Modifiers,,breast cancer prevention,Pharmacotherapy,Trans Fatty Acids,Radiation therapy,contralateral breast cancer,Contralateral breast cancer,estrogens
,exemestane,Diagnostic radiologic examination,Pharmacotherapy,Pharmacotherapy,Pharmacotherapy,Upper Extremity,Triple Negative Breast Neoplasms,Core needle biopsy,,Woman,Biopsy,TRIP6 gene|TRIP6,erbB-2 Receptor|ERBB2,Woman,,Consultation,Pharmacotherapy,TP53 gene|TP53,,Treatment Protocols,,Biological Response Modifiers,,breast cancer diagnosis,Operative Surgical Procedures,"ORF74 protein, Human herpesvirus 8",fluorodeoxyglucose,,Family history of breast cancer,
,Tamoxifen,Hyaluronic Acid,Immunologic Adjuvants,Pharmacotherapy,Treatment Protocols,Advice,Body tissue,Males,,progesterone receptor-positive breast cancer,Injection procedure,progesterone receptor-negative breast cancer,Pharmacotherapy,,,Intervention regimes,Pharmacotherapy,Histamine H1 Antagonists,,cancer prevention,,Molecular Targeted Therapy,,,Operative Surgical Procedures,"ORF74 protein, Human herpesvirus 8","ST13 protein, human|ST13",,Family history of breast cancer,
,BRCA2 gene|BRCA2,Hyaluronic Acid,high-dose chemotherapy,Pre-operative chemotherapy,Neoadjuvant Therapy,Upper Extremity,Neoplasms,Pharmacotherapy,,Malignant neoplasm of breast,radical mastectomy,Malignant neoplasm of breast,Pharmacotherapy,,,Malignant neoplasm of breast,Treatment Protocols,Histamine H1 Antagonists,,Intervention regimes,,Current Therapy,,,Human tissue,GPER1 gene|GPER1,Ultrasonography,,breast cancer prevention,
,Mastectomy,Connective Tissue,Therapeutic procedure,Pharmacotherapy,Doxorubicin,Health System,Biological Markers,Reconstructive Surgical Procedures,,,Woman,,Body tissue,,,Malignant neoplasm of breast,Pharmacotherapy,Contralateral Prophylactic Mastectomy,,Pharmaceutical Preparations,,Targeted Therapy,,,Operative Surgical Procedures,paclitaxel,Transcriptional Activation,,Invasive ductal breast cancer,
,Malignant neoplasm of breast,Stroma,Curative Surgery,Complete excision,Pharmacotherapy,Early Diagnosis,estrogens,Bilateral mastectomy,,,Mammography,,Assay,,,Screening mammography,Pharmacotherapy,Histamine H1 Antagonists,,Dietary Modification,,palbociclib,,,Genes,GPER1 gene|GPER1,Detection,,Invasive ductal breast cancer,
,Malignant neoplasm of breast,Carcinoma,Pharmacotherapy,other medicated shampoos in ATC,Cyclophosphamide,Carrier of disorder,Core needle biopsy,Endocrine therapy,,,"technetium Tc 99m 1,2-bis(bis(2-ethoxyethyl)phosphino)ethane",,Anatomic Site,,,Woman,cisplatin,Breast Cancer Radiotherapy,,Woman,,Hormone Therapy,,,Operative Surgical Procedures,EMP2 gene|EMP2,GRHL3,,,
,Tamoxifen,16q,Pharmacotherapy,Pharmacotherapy,Methotrexate,Light microscopy,Oncogenes,Breast,,,Operative Surgical Procedures,,Macrophage Activation Syndrome,,,Malignant neoplasm of breast,"CD69 protein, human|CD69",BRCA2 gene|BRCA2,,Tamoxifen,,palbociclib,,,Neoplasm Metastasis,EMP2 gene|EMP2,Magnetic Resonance Imaging,,,
,Syndrome,Noninfiltrating Intraductal Carcinoma,Estrogen Receptors,Pharmacotherapy,Fluorouracil,Carrier of disorder,Neoplasms,osteosarcoma,,,Injection procedure,,Patients,,,Breast cancer invasive NOS,doxorubicin liposome,Mutation,,Selective Estrogen Receptor Modulators,,Hormone Therapy,,,Therapeutic procedure,doxorubicin,Operative Surgical Procedures,,,
,Carrier of disorder,Secondary malignant neoplasm of axilla,Therapeutic procedure,paclitaxel,Medullary,Carrier of disorder,Phosphatidylinositide 3-Kinase Inhibitor,Pharmacotherapy,,,Diagnosis,,Lymph Node Metastasis,,,Breast cancer invasive NOS,cisplatin,Magnetic resonance imaging of breast,,Intervention regimes,,Hormone Therapy,,,Phosphatidylethanolamine Binding Protein,PBX1 gene|PBX1,Lesion,,,
,Malignant neoplasm of breast,Medullary,Axilla,Pharmacotherapy,Pharmacotherapy,Magnetic Resonance Spectroscopy,Phosphatidylinositide 3-Kinase Inhibitor,Mastectomy,,,Supportive care,,Woman,,,Malignant neoplasm of breast,capecitabine,Breast Cancer Radiotherapy,,Treatment Protocols,,First line treatment,,,mitogen-activated protein kinase p38,Pharmacotherapy,Radioisotope scan of bone,,,
