PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category,text,Predicted_Cancer_Type
AFFECTS,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Estrogens Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,FGFR2 gene|FGFR2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,FGFR2 gene|FGFR2 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,BRCA1 gene|BRCA1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,BRCA1 gene|BRCA1 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,NDUFB3|TNFAIP1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,NDUFB3|TNFAIP1 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Hormones,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Hormones Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,RAD51,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,RAD51 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Mutation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Mutation Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Topotecan,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Topotecan Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,ACSL4,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,ACSL4 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,MicroRNAs,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",MicroRNAs Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Body mass index,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Body mass index Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Metabolites,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Metabolites Malignant neoplasm of breast,Female Breast Cancer
CAUSES,anthracene,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other,anthracene Breast Carcinoma,Female Breast Cancer
PREDISPOSES,"oxoguanine glycosylase 1, human",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide","oxoguanine glycosylase 1, human Malignant neoplasm of breast",Female Breast Cancer
CAUSES,Malignant Neoplasms,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Malignant Neoplasms Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Topoisomerase,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Enzyme,Topoisomerase Breast Carcinoma,Female Breast Cancer
CAUSES,Methylcholanthrene,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other,Methylcholanthrene Breast Carcinoma,Female Breast Cancer
PREDISPOSES,Cadmium,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Inorganic Chemical,Cadmium Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Medroxyprogesterone 17-Acetate,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Medroxyprogesterone 17-Acetate Malignant neoplasm of breast,Female Breast Cancer
