Source,Target,Weight
Estrogens,Female Breast Cancer,0.0029970029970029
Female Breast Cancer,FGFR2 gene|FGFR2,0.3386613386613387
Female Breast Cancer,BRCA1 gene|BRCA1,0.0
Female Breast Cancer,Hormones,0.0029970029970029
Female Breast Cancer,Mutation,0.0009990009990009
Female Breast Cancer,MicroRNAs,0.0029970029970029
Female Breast Cancer,"oxoguanine glycosylase 1, human",0.3386613386613387
Female Breast Cancer,Malignant Neoplasms,0.0279720279720279
Female Breast Cancer,Topoisomerase,0.0279720279720279
Female Breast Cancer,Cadmium,0.0099900099900099
Female Breast Cancer,Medroxyprogesterone 17-Acetate,0.0279720279720279
Female Breast Cancer,C-reactive protein level,0.3386613386613387
Female Breast Cancer,Cell Proliferation,0.0279720279720279
Female Breast Cancer,Carcinoma of the Large Intestine,0.3386613386613387
Female Breast Cancer,Phytoestrogens,0.0279720279720279
Female Breast Cancer,Single Nucleotide Polymorphism,0.0279720279720279
Female Breast Cancer,CD44 gene|CD44,0.0109890109890109
Female Breast Cancer,Cell Cycle Progression,0.3386613386613387
Female Breast Cancer,Vitamin D,0.3386613386613387
Female Breast Cancer,Estrogen Receptor Status,0.0279720279720279
Female Breast Cancer,Carcinogens,0.0039960039960039
Female Breast Cancer,Hormone replacement therapy,0.0279720279720279
Female Breast Cancer,Insulin-Like-Growth Factor I Receptor,0.3386613386613387
Female Breast Cancer,Metabolic Diseases,0.3386613386613387
Female Breast Cancer,"DNA, Mitochondrial",0.3386613386613387
Female Breast Cancer,MST1R gene|MST1R,0.0279720279720279
Female Breast Cancer,Lactation,0.0279720279720279
Female Breast Cancer,Estrogen Receptors,0.0009990009990009
Female Breast Cancer,Human Papillomavirus,0.3386613386613387
Female Breast Cancer,BCL9 gene|BCL9,0.3386613386613387
Female Breast Cancer,Genes,0.0
Female Breast Cancer,Monocyte Chemoattractant Protein-1|CCL2,0.0279720279720279
Female Breast Cancer,Complication,0.3386613386613387
Female Breast Cancer,PTGS2 gene|PTGS2,0.3386613386613387
Female Breast Cancer,GLTSCR2 gene|NOP53,0.0029970029970029
Female Breast Cancer,RNA,0.0009990009990009
Female Breast Cancer,"Polymorphism, Genetic",0.0
Female Breast Cancer,ERBB2 gene|ERBB2,0.0109890109890109
Female Breast Cancer,TP53 gene|TP53,0.0189810189810189
Female Breast Cancer,Endocrine therapy,0.0009990009990009
Female Breast Cancer,BRCA2 gene|BRCA2,0.0019980019980019
Female Breast Cancer,Base Excision Repair,0.3386613386613387
Female Breast Cancer,Tumor Suppressor Genes,0.0
