PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type
DIAGNOSES,Microlaryngoscopy,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Positron-Emission Tomography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Early Diagnosis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Spectrum Analysis, Raman",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Core needle biopsy,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Assay,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,Author,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Needle biopsy procedure,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Immunohistochemistry,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Author,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Magnetic Resonance Imaging,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Mammography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Fluorescent in Situ Hybridization,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Toxicology screen, general",Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Microarray Analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,CK2,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cytokeratin-8 Staining Method,Breast cancer stage III,0.0029970029970029,Female Breast Cancer
DIAGNOSES,HIGH SENSITIVITY,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Scanning,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
MEASURES,Correlation Study,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Lymphography,Carcinoma of Male Breast,0.0059940059940059,Male Breast Cancer
DIAGNOSES,IMMUNOHISTOCHEMICAL,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
