PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category,text
PREVENTS,Therapeutic procedure,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Therapeutic procedure Malignant neoplasm of breast
PREVENTS,Gonadal Steroid Hormones,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Gonadal Steroid Hormones Malignant neoplasm of breast
PREVENTS,Estrogen Antagonists,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Estrogen Antagonists Malignant neoplasm of breast
PREVENTS,Vaccines,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Vaccines,Vaccines Malignant neoplasm of breast
PREVENTS,Mastectomy,Contralateral breast cancer,0.0119880119880119,Female Breast Cancer,Medical Procedures,Mastectomy Contralateral breast cancer
PREVENTS,Chemotherapeutic agent,Breast cancer metastatic,0.0369630369630369,Female Breast Cancer,Medications,Chemotherapeutic agent Breast cancer metastatic
PREVENTS,Selective Estrogen Receptor Modulators,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Selective Estrogen Receptor Modulators Malignant neoplasm of breast
PREVENTS,"Radiotherapy, Adjuvant",Noninfiltrating Intraductal Carcinoma,0.0019980019980019,Female Breast Cancer,Medical Procedures,"Radiotherapy, Adjuvant Noninfiltrating Intraductal Carcinoma"
PREVENTS,Local Therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Local Therapy Malignant neoplasm of breast
PREVENTS,Tamoxifen,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Tamoxifen Malignant neoplasm of breast
PREVENTS,Pharmaceutical Preparations,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,Pharmaceutical Preparations Malignant neoplasm of breast
METHOD_OF,Therapeutic procedure,breast cancer prevention,0.0269730269730269,Other,Medical Procedures,Therapeutic procedure breast cancer prevention
PREVENTS,Dietary restriction NOS,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,Dietary restriction NOS Malignant neoplasm of breast
PREVENTS,Therapeutic procedure,Noninfiltrating Intraductal Carcinoma,0.0019980019980019,Female Breast Cancer,Medical Procedures,Therapeutic procedure Noninfiltrating Intraductal Carcinoma
PREVENTS,Vitamin D,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Vitamin D Malignant neoplasm of breast
PREVENTS,Chemotherapeutic agent,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,Chemotherapeutic agent Malignant neoplasm of breast
PREVENTS,Bilateral mastectomy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Bilateral mastectomy Malignant neoplasm of breast
PREVENTS,"Diet, Fat-Restricted",Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,"Diet, Fat-Restricted Malignant neoplasm of breast"
PREVENTS,Estrogen Replacement Therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Estrogen Replacement Therapy Malignant neoplasm of breast
