PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score
TREATS,trastuzumab|ERBB2,Malignant neoplasm of breast,0.1928071928071928
TREATS,anastrozole,Malignant neoplasm of breast,0.1928071928071928
TREATS,Tamoxifen,Malignant neoplasm of breast,0.1928071928071928
TREATS,Immunologic Adjuvants,Malignant neoplasm of breast,0.1928071928071928
TREATS,Autologous Stem Cell Transplantation,Breast cancer metastatic,0.04195804195804196
TREATS,Adriamycin,Malignant neoplasm of breast,0.1928071928071928
TREATS,ERBB2 gene|ERBB2,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,cell motility,Malignant neoplasm of breast,0.1928071928071928
TREATS,Therapeutic procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,Excision,Malignant neoplasm of breast,0.1928071928071928
TREATS,antagonists,Malignant neoplasm of breast,0.1928071928071928
TREATS,trastuzumab,Malignant neoplasm of breast,0.1928071928071928
TREATS,Tannic Acid,Malignant neoplasm of breast,0.1928071928071928
TREATS,Hormone replacement therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Immunologic Adjuvants,"Carcinoma, Ductal, Breast",0.004995004995004995
TREATS,Therapeutic procedure,Breast cancer metastatic,0.04195804195804196
TREATS,adjuvant therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,docetaxel,Breast cancer metastatic,0.04195804195804196
PROCESS_OF,cell invasion,Inflammatory Breast Carcinoma,0.01098901098901099
TREATS,UCN 01,Breast cancer metastatic,0.04195804195804196
TREATS,Doxorubicin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Pharmacotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Angiogenesis Inhibitors,Malignant neoplasm of breast,0.1928071928071928
TREATS,taxane,Breast cancer metastatic,0.04195804195804196
TREATS,Cytotoxic agent,Malignant neoplasm of breast,0.1928071928071928
TREATS,lapatinib,Breast cancer metastatic,0.04195804195804196
TREATS,Selective Estrogen Receptor Modulators,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Exocytosis,Breast Carcinoma,0.03796203796203796
TREATS,Prolactin|PRL,Malignant neoplasm of breast,0.1928071928071928
