PREDICATE,SUBJECT_NAME,OBJECT_NAME,cause_category,factuality_score,Factuality_Score
AFFECTS,Estrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387
PREDISPOSES,FGFR2 gene|FGFR2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
CAUSES,BRCA1 gene|BRCA1,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,NDUFB3|TNFAIP1,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Hormones,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,RAD51,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Mutation,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Topotecan,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,ACSL4,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,MicroRNAs,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Body mass index,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Metabolites,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,anthracene,Breast Carcinoma,Other,0.0,0.027972027972027972
PREDISPOSES,"oxoguanine glycosylase 1, human",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Malignant Neoplasms,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Topoisomerase,Breast Carcinoma,Other,0.0,0.027972027972027972
CAUSES,Methylcholanthrene,Breast Carcinoma,Other,0.0,0.027972027972027972
PREDISPOSES,Cadmium,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,Medroxyprogesterone 17-Acetate,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,C-reactive protein level,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Cell Proliferation,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Carcinoma of the Large Intestine,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Phytoestrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387
AUGMENTS,Estrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387
PREDISPOSES,Single Nucleotide Polymorphism,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,CD44 gene|CD44,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Cell Cycle Progression,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Hormones,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Vitamin D,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Estrogen Receptor Status,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,MTRR,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,MTA2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Growth,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Pregnancy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,DYRK2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,Velcade,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Carcinogens,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Hormone replacement therapy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Insulin-Like-Growth Factor I Receptor,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,lycopene,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,SMURF1,Breast cancer metastatic,Other,0.0,0.027972027972027972
PREDISPOSES,Metabolic Diseases,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,"DNA, Mitochondrial",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,polyphenols,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Obesity,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Etodolac,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,MST1R gene|MST1R,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Lactation,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Interleukin-6,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Estrogen Receptors,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Well in self,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Human Papillomavirus,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,1-Phosphatidylinositol 3-Kinase,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387
AFFECTS,Androgens,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,TARBP2,Breast Carcinoma,Other,0.0,0.027972027972027972
PREDISPOSES,Tobacco smoke,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Annexin A2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,RAD51,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,BCL9 gene|BCL9,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
CAUSES,Genes,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,GATA3,Breast Carcinoma,Other,0.0,0.027972027972027972
PREDISPOSES,CHEK2 gene|CHEK2,Carcinoma of Male Breast,Genetic Factors,0.0,0.004995004995004995
PREDISPOSES,beta-cryptoxanthin,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,response,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Physical activity,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Signal Pathways,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,TARBP2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,SELENOP,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,polyphenols,Breast cancer recurrent,Other,0.0,0.004995004995004995
PREDISPOSES,Weight Gain,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,pleiotropism,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Enhancer,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Estrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387
