title,factuality_score
C-reactive protein level,0.3386613
Female Breast Cancer,0.3386613
Estrogen Receptor Status,0.3386613
Estrogen Receptors,0.3386613
Monocyte Chemoattractant Protein-1|CCL2,0.3386613
Estrogen Receptor alpha,0.3386613
"Alpha-MMC protein, Momordica charantia",0.3386613
Protein Expression,0.3386613
protein tyrosine phosphatase 1B,0.3386613
Insulin-Like Growth Factor Binding Protein 3,0.3386613
inner centromere protein|INCENP,0.3386613
Insulin-Like Growth Factor Binding Protein 3,0.0109890
protein kinase C eta,0.3386613
Matrix Metalloproteinases,0.0279720
SV40 T Proteins,0.3386613
Nuclear Proteins,0.3386613
soy protein isolate,0.3386613
"TGFB1 protein, human|TGFB1",0.3386613
Selective Estrogen Receptor Modulators,0.3386613
C-Peptide,0.3386613
Lymphocyte Specific Protein Tyrosine Kinase p56(lck)|LCK,0.3386613
"TACSTD1 protein, human|EPCAM",0.3386613
Merozoite Surface Protein 1,0.3386613
"PTPN6 protein, human|PTPN6",0.3386613
Apoptosis Inhibiting Proteins,0.3386613
Protein Kinase C,0.3386613
Receptor Protein-Tyrosine Kinases,0.3386613
Cellular Retinol Binding Protein,0.3386613
protein kinase inhibitor,0.3386613
Soy Proteins,0.3386613
Lipoproteins,0.3386613
"VEGF protein, human|VEGFA",0.3386613
Estrogen Receptor alpha|EREG|ESR1,0.3386613
Focal Adhesion Protein-Tyrosine Kinases,0.0109890
Proteins,0.3386613
Estrogen receptor positive tumor,0.3386613
apolipoprotein D|APOD,0.3386613
rho GTP-Binding Proteins,0.0099900
Fusion Protein,0.3386613
"TNF protein, human|TNF",0.3386613
"RBL2 protein, human|RBL2",0.3386613
stress-activated protein kinase 1,0.3386613
Estrogen Receptor beta,0.3386613
Matrix Metalloproteinases,0.3386613
Extracellular Protein,0.3386613
Estrogen Receptor beta|ESR2,0.3386613
"MAPK14 protein, human|MAPK14",0.3386613
"Ribosomal Protein S6 Kinases, 70-kDa|RPS6KB1",0.3386613
vasodilator-stimulated phosphoprotein,0.3386613
hepatocellular carcinoma protein 1,0.0279720
Phosphoproteins,0.3386613
Peptides,0.3386613
Cyclic AMP-Responsive DNA-Binding Protein,0.0279720
"PDGFA protein, human|PDGFA",0.3386613
"sal protein, Drosophila",0.0099900
Focal Adhesion Protein-Tyrosine Kinases,0.3386613
"UBD protein, human|UBD",0.0279720
"FRAP1 protein, human|MTOR",0.3386613
Membrane Proteins,0.3386613
"VEGF protein, human|VEGFA",0.0279720
"TACSTD2 protein, human|TACSTD2",0.3386613
"KLK15 protein, human|KLK15",0.3386613
"NUP214 protein, human|NUP214",0.3386613
Mucin 1 protein,0.3386613
C-reactive protein,0.3386613
Estrogen Receptors,0.0279720
Zn-alpha-2-glycoprotein,0.3386613
Protein Subunits,0.3386613
Estrogen Receptor 1,0.3386613
collapsin response mediator protein-2,0.3386613
G-T mismatch-binding protein|MSH6,0.3386613
Protein phosphatase,0.0279720
GTP-Binding Protein alpha Subunits,0.3386613
Gastric Inhibitory Polypeptide,0.3386613
"CHEK2 protein, human|CHEK2",0.0039960
