title,factuality_score
Agent,0.3386613
Female Breast Cancer,0.3386613
Contraceptive Agents,0.3386613
Therapeutic agent (substance),0.3386613
"Anti-Inflammatory Agents, Non-Steroidal",0.3386613
Antihypertensive Agents,0.3386613
Antidepressive Agents,0.3386613
"Antidepressive Agents, Tricyclic",0.3386613
Chemopreventive Agent,0.3386613
Fertility Agents,0.3386613
Anti-Inflammatory Agents,0.3386613
"Anti-Inflammatory Agents, Non-Steroidal",0.0099900
Antipsychotic Agents,0.3386613
Antipsychotic Agents,0.0019980
Antihypertensive Agents,0.0089910
Agent,0.0189810
Agent,0.0000000
Agent,0.0279720
Anti-Bacterial Agents,0.3386613
Antiplatelet Agents,0.3386613
Central Nervous System Agents,0.3386613
Antiepileptic Agents,0.3386613
Anti-Anxiety Agents,0.3386613
Agent,0.0089910
Cytostatic Agents,0.0279720
Hypoglycemic Agents,0.3386613
Alkylating Agents,0.3386613
Anticholesteremic Agents,0.3386613
Antilipemic Agents,0.3386613
Hypolipidemic Agents,0.0189810
"Anti-Inflammatory Agents, Non-Steroidal",0.0279720
Hypolipidemic Agents,0.3386613
Agent,0.0039960
Chemotherapeutic agent,0.3386613
Photosensitizing Agents,0.0000000
