title,factuality_score
Mutation,0.3386613
Female Breast Cancer,0.3386613
Cell Proliferation,0.3386613
Cell Cycle Progression,0.3386613
Lactation,0.3386613
Complication,0.3386613
Base Excision Repair,0.3386613
Lesion,0.3386613
educational intervention,0.3386613
TRANSCRIPTION FACTOR,0.3386613
Methionine,0.3386613
Aryl Hydrocarbon Receptor|AHR,0.3386613
Alcohol consumption,0.3386613
Methylation,0.3386613
Germ-Line Mutation,0.3386613
Adverse reactions,0.3386613
Somatic mutation,0.3386613
Cessation of life,0.3386613
Dietary Modification,0.3386613
Cyclooxygenase 2 Inhibitors,0.3386613
Axillary Lymph Node Dissection,0.3386613
"Polycyclic Hydrocarbons, Aromatic",0.3386613
Radiation therapy,0.0279720
Fusion procedure,0.0109890
Radiation,0.3386613
Propionate,0.0279720
Combination Chemotherapy,0.0279720
Infection,0.3386613
Cell Communication,0.3386613
Mutation,0.0000000
"Hydrocarbons, Chlorinated",0.3386613
Signal Transduction Pathways,0.3386613
impression,0.3386613
Epithelial Cell Proliferation,0.3386613
Down-Regulation,0.3386613
Body Fat Distribution,0.3386613
Spontaneous abortion,0.3386613
"Mutation, Missense",0.3386613
"Abortion, Induced",0.3386613
cyclooxygenase 2,0.3386613
Adhesions,0.3386613
Unspecified Abortion,0.3386613
Breast Microcalcification,0.3386613
"Mutation, Nonsense",0.3386613
"Metals, Heavy",0.3386613
Transcriptional Activation,0.3386613
Signal Transduction,0.3386613
Dietary restriction NOS,0.3386613
Polycyclic Hydrocarbons,0.0279720
migration stimulating factor,0.3386613
Impaired cognition,0.3386613
Transcription Repressor/Corepressor,0.3386613
S-Phase Fraction,0.3386613
participation,0.3386613
Phosphoglycerate dehydrogenase|PHGDH,0.3386613
Neoplasm progression,0.3386613
Point Mutation,0.3386613
Lesion,0.0099900
Visual Accommodation,0.3386613
Xanthine Dehydrogenase,0.3386613
Glutathione S-Transferase,0.3386613
Mutation,0.0039960
Cyclooxygenase 2 Inhibitors,0.0279720
systemic administration,0.3386613
Alcohol consumption,0.0019980
Receptor Activation,0.3386613
3' Untranslated Regions,0.3386613
Induction,0.3386613
curdione,0.3386613
Response Elements,0.3386613
Prevention,0.3386613
Functional RNA,0.3386613
Infiltration,0.0279720
Exertion,0.3386613
Functional RNA,0.0279720
Dehydration,0.3386613
Forkhead Transcription Factors,0.3386613
Metalloproteases,0.3386613
prevention through information dissemination,0.3386613
Signal Transduction Pathways,0.0099900
Regulatory Element,0.3386613
depolarization,0.3386613
"Biological function, NOS",0.3386613
Radionuclide Imaging,0.3386613
cyclooxygenase 2,0.0109890
MULTISECTION:FINDING:POINT IN TIME:BREAST:NARRATIVE:MRI,0.3386613
Inflammation Mediators,0.3386613
DNA Modification Methylases|DNMT1,0.3386613
cell invasion,0.3386613
Succinate Dehydrogenase|SARDH|SDHB|SDS,0.0000000
Lactation,0.0279720
Reexcision,0.0109890
Up-Regulation (Physiology),0.3386613
Recreation,0.3386613
Ablation,0.3386613
Detection,0.3386613
Positron-Emission Tomography,0.3386613
Exploration procedure,0.3386613
Low Dose Radiation,0.3386613
pulmonary complications,0.3386613
mRNA Expression,0.3386613
Fine needle aspiration biopsy,0.0279720
Encounter due to In vitro fertilization,0.3386613
Human papilloma virus infection,0.3386613
Cyclooxygenase Inhibitors,0.3386613
Thyroid dysfunction,0.3386613
Motion,0.3386613
Oral contraception,0.3386613
Reduction mammaplasty,0.0019980
Excision,0.0109890
Inflammation,0.3386613
"Tomography, Emission-Computed",0.3386613
"Metals, Heavy",0.0099900
Dioxygenases,0.3386613
cyclooxygenase 2,0.0029970
Dissection,0.3386613
