title,factuality_score
FGFR2 gene|FGFR2,0.3386613
Female Breast Cancer,0.3386613
BRCA1 gene|BRCA1,0.3386613
CD44 gene|CD44,0.3386613
MST1R gene|MST1R,0.3386613
BCL9 gene|BCL9,0.3386613
Genes,0.3386613
PTGS2 gene|PTGS2,0.3386613
GLTSCR2 gene|NOP53,0.0029970
"Polymorphism, Genetic",0.3386613
ERBB2 gene|ERBB2,0.0099900
TP53 gene|TP53,0.3386613
BRCA2 gene|BRCA2,0.3386613
Tumor Suppressor Genes,0.3386613
Angiogenesis Inhibitors,0.3386613
ABCB1 gene|ABCB1,0.3386613
CHEK2 gene|CHEK2,0.3386613
DNM1 gene|DNM1,0.0099900
ERBB2 gene|ERBB2,0.3386613
PGR gene|PGR,0.3386613
TLR3 gene|TLR3,0.3386613
CXCR4 gene|CXCR4,0.3386613
EGFR gene|EGFR,0.3386613
HRH4 gene|HRH4,0.3386613
CDKN1A gene|CDKN1A,0.3386613
Proto-Oncogenes,0.3386613
Gene Expression,0.3386613
FGF10 gene|FGF10,0.3386613
Genes,0.0279720
Cytokine Gene,0.3386613
PRKACA gene|PRKACA,0.3386613
TERT gene|TERT,0.3386613
EGFR gene|EGFR,0.0279720
ITK gene|ITK,0.0279720
CLOCK gene|CLOCK,0.3386613
ATM Gene Mutation,0.3386613
MIRN132 gene|MIR132,0.0109890
Tumorigenesis,0.3386613
CCNB1 gene|CCNB1,0.3386613
c-myc Genes|MYC,0.3386613
BARD1 gene|BARD1,0.3386613
ERBB3 gene|ERBB3,0.3386613
"Translation, Genetic",0.3386613
BRCA2 gene|BRCA2,0.0039960
Tumor Angiogenesis,0.0279720
Gene-Environment Interaction,0.3386613
BRCA1 Mutation,0.3386613
BRCA1 gene|BRCA1,0.0000000
TFF1 gene|TFF1,0.3386613
v-Ha-ras Oncogenes,0.3386613
"Genes, Dominant",0.3386613
ras Oncogene,0.0279720
Genes,0.0039960
Cancer-Predisposing Gene,0.3386613
Gene Amplification,0.3386613
"Genes, Suppressor",0.0279720
Peptide Nucleic Acids,0.0279720
Cancer-Predisposing Gene,0.0039960
Retinoblastoma Genes,0.3386613
CYP17A1 gene|CYP17A1,0.3386613
Viral Oncogene,0.3386613
CUL4A gene|CUL4A,0.0279720
NCOA3 gene|NCOA3,0.3386613
MYC gene|MYC,0.3386613
ATM gene|ATM,0.3386613
AFP gene|AFP,0.3386613
FHIT gene|FHIT,0.3386613
GSTT1 gene|GSTT1,0.3386613
Oncogenes,0.0279720
EGFR gene|EGFR,0.0000000
Transgenes,0.3386613
GSTM1 gene|GSTM1,0.3386613
TSG101 gene|TSG101,0.0039960
Oncogenes,0.3386613
CYP19A1 gene|CYP19A1,0.3386613
MCM2 gene|MCM2,0.3386613
STK6 gene|AURKA,0.3386613
LAG3 gene|LAG3,0.3386613
CA9 gene|CA9,0.0099900
CXCR4 gene|CXCR4,0.0279720
Encounter due to genetic counseling,0.3386613
SULT gene,0.3386613
PTGS2 gene|PTGS2,0.0279720
MET gene,0.3386613
ERCC2 gene|ERCC2,0.3386613
RETN gene|RETN,0.3386613
Cancer Promoting Genes,0.3386613
HIC1 gene|HIC1,0.0029970
Receptor Gene,0.3386613
ETS1 gene|ETS1,0.3386613
HSF1 gene|HSF1,0.3386613
WISP3 gene|WISP3,0.0009990
LAMR1 gene|RPSA,0.3386613
Oncogene ErbB2|ERBB2|NEU1|NEURL1,0.3386613
SHFM1 gene|SEM1,0.3386613
DNA Repair Gene,0.3386613
MTHFR gene|MTHFR,0.3386613
Pathogenesis,0.3386613
Angiogenesis,0.3386613
AXL gene|AXL,0.0279720
JTB gene|JTB,0.3386613
HIF1A gene|HIF1A,0.0029970
Proto-Oncogene Proteins c-akt|AKT1,0.3386613
"Transcription, Genetic",0.3386613
congener,0.3386613
CASP8 gene|CASP8,0.3386613
BHMT gene|BHMT,0.3386613
CXCL12 gene|CXCL12,0.3386613
PTEN gene|PTEN,0.3386613
Candidate Disease Gene,0.3386613
Protein p53|TP53,0.3386613
gene polymorphism,0.3386613
TP53 gene|TP53,0.0029970
MIRN34A gene|MIR34A,0.3386613
F3 gene|F3,0.3386613
RSU1 gene|RSU1,0.3386613
GATA3 gene|GATA3,0.3386613
LOH11CR2A gene|VWA5A,0.0279720
PTPN12 gene|PTPN12,0.3386613
FOXC1 gene|FOXC1,0.3386613
Hyperandrogenemia,0.3386613
RAB8A gene|RAB8A,0.3386613
ZYX gene|ZYX,0.3386613
NCOR2 gene|NCOR2,0.3386613
TNFRSF6B gene|TNFRSF6B,0.3386613
XRCC3 gene|XRCC3,0.3386613
Genes,0.0109890
RUNX1 gene|RUNX1,0.3386613
MIR gene|MLXIP|MYLIP|MARCH8,0.3386613
OBSCN gene|OBSCN,0.3386613
STAT5A gene|STAT5A,0.3386613
AKT2 gene|AKT2,0.3386613
GPR1 gene|GPR1,0.3386613
SHH gene|SHH,0.3386613
MERTK gene|MERTK,0.3386613
Variation (Genetics),0.3386613
"Genes, X-Linked",0.3386613
CYP3A4 gene|CYP3A4,0.3386613
CXCL13 gene|CXCL13,0.3386613
PTHLH gene|PTHLH,0.3386613
BRCA1 gene|BRCA1,0.0039960
TYMS gene|TYMS,0.3386613
EGFL6 gene|EGFL6,0.3386613
NOTCH1 gene,0.3386613
ESR2 gene|ESR2,0.3386613
Mammary Tumorigenesis,0.3386613
MMP9 gene|MMP9,0.3386613
SULF2 gene|SULF2,0.3386613
BAX gene|BAX,0.3386613
genetic aspects,0.3386613
CDKN2A gene|CDKN2A,0.3386613
GSTP1 gene|GSTP1,0.3386613
VEGF gene|VEGFA,0.3386613
ERCC5 gene|ERCC5,0.3386613
RHOA gene|RHOA,0.3386613
LGMN gene|LGMN,0.3386613
Tumor Angiogenesis,0.0099900
IGFBP3 gene|IGFBP3,0.3386613
RHOC gene|RHOC,0.3386613
Promoter Regions (Genetics),0.0279720
IL6 gene|IL6,0.3386613
PRLR gene|PRLR|PTP4A3,0.3386613
LOC118430 gene,0.0279720
SHC1 gene|SHC1,0.3386613
ELF3 gene|ELF3,0.3386613
BMP7 gene|BMP7,0.3386613
HPR gene|HPR,0.3386613
CCNE1 gene|CCNE1,0.3386613
Proto-Oncogene Proteins c-akt|AKT1,0.0109890
HGS gene|HGS,0.3386613
PPARG gene|PPARG,0.3386613
LOX gene|LOX,0.3386613
TNF gene|TNF,0.3386613
BRCA2 Mutation,0.0000000
STN gene|EEF1A2,0.3386613
NMU gene|NMU,0.3386613
ELK3 gene|ELK3|KCNH8,0.3386613
Metastasis Suppressor Genes,0.3386613
CCND1 gene|CCND1,0.3386613
KISS1 gene|KISS1,0.3386613
HIF1A gene|HIF1A,0.3386613
Oncogene Proteins,0.3386613
XRCC1 gene|XRCC1,0.3386613
XRCC2 gene|XRCC2,0.3386613
"Polymorphism, Genetic",0.0279720
GH1 gene|GH1,0.0279720
Angiogenesis Factor,0.3386613
MIRN150 gene|MIR150,0.0279720
CYP2D6 gene|CYP2D6,0.3386613
SMAD3 gene|SMAD3,0.3386613
IRF4 gene|IRF4,0.3386613
GSTT1 gene|GSTT1,0.0279720
Genome,0.3386613
XRCC3 gene|XRCC3,0.0279720
CCL1 gene|CCL1,0.3386613
STAT3 gene|STAT3,0.0279720
ID2 gene|ID2,0.3386613
Genetic Markers,0.3386613
PIK3CA gene|PIK3CA,0.0279720
K-ras Oncogene|KRAS,0.3386613
HOXC6 gene|HOXC6,0.3386613
Peptide Nucleic Acids,0.3386613
Proto-Oncogene Proteins c-myc|MYC,0.3386613
BRCA2 Mutation,0.0279720
STAR gene,0.3386613
"Genes, ras",0.3386613
MAFG gene|MAFG,0.0279720
TWIST1 gene|TWIST1,0.3386613
PARVA gene|PARVA,0.3386613
CBFB gene|CBFB|NFYA|NFYB,0.3386613
RHOA gene|RHOA,0.0279720
MIR99A gene|MIR99A,0.3386613
CELF6 gene|CELF6,0.0189810
DNMT3B gene|DNMT3B,0.3386613
Paralogous Gene,0.3386613
PAK6 gene|PAK6,0.3386613
LINC00173 gene|LINC00173,0.0189810
PDZRN4 gene|PDZRN4,0.3386613
BRD7 gene|BRD7,0.3386613
KDM1A gene|KDM1A,0.3386613
MIR451A gene|MIR451A,0.3386613
Genes,0.0000000
LINC00993 gene|LINC00993,0.0189810
JAG1 gene|JAG1,0.0189810
SFRP2 gene|SFRP2,0.3386613
FNDC5 gene|FNDC5,0.3386613
CNN1 gene|CNN1,0.3386613
FOXK1 gene|FOXK1,0.3386613
Variation (Genetics),0.0089910
SDHC gene|SDHC,0.0109890
Gene Mutant,0.0109890
TFCP2 gene|TFCP2,0.3386613
RWDD4 gene|RWDD4,0.0109890
SOX10 gene|SOX10,0.0189810
CDYL2 gene|CDYL2,0.3386613
CBLB gene|CBLB|MMAB,0.3386613
NES gene|NES,0.3386613
TRDMT1 gene|TRDMT1,0.3386613
Tumor Suppressor Genes,0.0189810
TMPO-AS1 gene|TMPO-AS1,0.0189810
NUDT21 gene|NUDT21,0.3386613
NEK10 gene|NEK10,0.3386613
GPER1 gene|GPER1,0.3386613
CCL8 gene|CCL8,0.3386613
polygene,0.3386613
MCM3AP-AS1 gene|MCM3AP-AS1,0.3386613
ELAVL2 gene|ELAVL2,0.0009990
Genes,0.0189810
DAPK1 gene|DAPK1,0.3386613
FGFBP1 gene|FGFBP1,0.0000000
