title,factuality_score
Estrogens,0.3386613
Female Breast Cancer,0.3386613
Hormones,0.3386613
Medroxyprogesterone 17-Acetate,0.3386613
Phytoestrogens,0.3386613
Hormone replacement therapy,0.3386613
Endocrine therapy,0.0109890
Progesterone,0.3386613
"Estrogens, Synthetic",0.3386613
Endocrine therapy,0.3386613
Sex Hormone-Binding Globulin,0.3386613
Testosterone,0.3386613
Estrogens,0.0279720
Steroid hormone,0.3386613
Estrogen Antagonists,0.3386613
Aromatase Inhibitors,0.3386613
Aromatase Inhibitors,0.0279720
Thyroid Hormones,0.3386613
Gonadotropin-Releasing Hormone Analog,0.0279720
"Receptors, Progesterone",0.3386613
steroid hormone receptor,0.0000000
Somatotropin-Releasing Hormone,0.3386613
Oestrogen deficiency,0.3386613
Conjugated Equine Estrogens,0.3386613
Oestrogen increased,0.3386613
Progestogen hormone therapy,0.3386613
ESTROGEN USE,0.0099900
Estrogenic,0.3386613
"Progestational Hormones, Synthetic",0.3386613
"progesterone, micronized",0.3386613
Oestrogen therapy,0.3386613
Hormone Receptor,0.0019980
Placental Hormones,0.3386613
progesterone analog,0.3386613
ESTROGEN USE,0.3386613
Endocrine Disruptors,0.3386613
progesterone receptor positive,0.3386613
"Receptors, Progesterone|PGR",0.3386613
Gonadal Steroid Hormones,0.3386613
Endocrine substance,0.3386613
Estrogenic effect,0.3386613
Estrogen hormone therapy,0.3386613
Hormone replacement therapy,0.0279720
Progesterone Receptor Status,0.3386613
Estrogen Antagonists,0.0279720
Hormone Receptor,0.3386613
Endocrine therapy,0.0099900
Nuclear Hormone Receptors,0.3386613
mullerian-inhibiting hormone,0.3386613
Estrogens,0.0109890
Blood hormone levels,0.3386613
Progesterone,0.0279720
Medroxyprogesterone,0.3386613
Environmental Estrogen,0.3386613
Growth Hormone Receptor|GHR,0.3386613
Hormone Receptor,0.0189810
estrogens,0.3386613
"Anti-Mullerian Hormone Receptor Type II, Human|AMHR2",0.3386613
Hormone Therapy,0.3386613
estrogens,0.0189810
"Receptors, Progesterone",0.0000000
Exogenous hormones,0.3386613
estrogens,0.0089910
Estrogen Replacement Therapy,0.3386613
