title,factuality_score
Monoclonal Antibody Therapy,0.3386613
Female Breast Cancer,0.3386613
Antibody Therapy,0.3386613
Specific antibody,0.3386613
Epstein-Barr virus antibody,0.3386613
Hair Dyes,0.3386613
antibody conjugate,0.3386613
Autoantibody NOS,0.3386613
Epithelial antibody,0.3386613
Indicators,0.3386613
Immunohistochemistry,0.3386613
3F8 antibody,0.3386613
Indicators,0.0029970
Finding of antibody titer,0.3386613
Indicators,0.0099900
antibody therapy,0.3386613
Tissue factor antibody,0.0279720
monoclonal antibody CC49,0.3386613
Immunohistochemistry,0.0279720
Indicators,0.0279720
