title,factuality_score
Malignant Neoplasms,0.3386613
Female Breast Cancer,0.3386613
Carcinoma of the Large Intestine,0.3386613
Ovarian Serous Adenocarcinoma,0.0279720
Neoplasm Metastasis,0.0279720
Malignant Neoplasms,0.0029970
Tumor Markers,0.3386613
"Mammary Tumor Virus, Mouse",0.0279720
Breast cancer recurrent,0.3386613
Acute leukemia,0.0279720
leukemia,0.3386613
Familial cancer of breast,0.0000000
Breast Carcinoma,0.3386613
Hereditary Malignant Neoplasm,0.3386613
Ovarian Carcinoma,0.3386613
"Mammary Tumor Virus, Mouse",0.3386613
Primary carcinoma of the liver cells,0.0279720
Tumor Promoters,0.3386613
Noninfiltrating Intraductal Carcinoma,0.3386613
Infiltrating duct carcinoma,0.3386613
Encounter due to Screening for malignant neoplasm of breast,0.3386613
Molecular Fingerprint of Tumor,0.3386613
Neoplasm Metastasis,0.3386613
osteosarcoma,0.0279720
cancer prevention,0.3386613
Tumorigenicity,0.3386613
Malignant Bone Neoplasm,0.0279720
Secondary malignant neoplasm of lymph node,0.3386613
Tumor Cell Invasion,0.0099900
Metaplastic Breast Carcinoma,0.3386613
tumor growth,0.3386613
Malignant neoplasm of breast,0.0109890
Secondary malignant neoplasm of bone,0.3386613
"Carcinoma, Non-Small-Cell Lung",0.3386613
Small cell carcinoma of lung,0.3386613
"Pleural Effusion, Malignant",0.3386613
Uterine Cancer,0.3386613
Malignant neoplasm of breast,0.0099900
Secondary malignant neoplasm of liver,0.3386613
Tumor Antigens,0.0109890
mammary tumor virus,0.3386613
Endometrial Carcinoma,0.0279720
ovarian cancer prevention,0.3386613
Metastatic malignant neoplasm to brain,0.3386613
Ductal Carcinoma,0.3386613
breast cancer diagnosis,0.3386613
Malignant Neoplasms,0.0279720
Secondary malignant neoplasm of lung,0.3386613
Invasive Carcinoma,0.3386613
Noninfiltrating Intraductal Carcinoma,0.0029970
leukemia,0.0009990
Tumor Cell Invasion,0.0279720
Malignant neoplasm of lung,0.3386613
"Leukemia Virus, Bovine",0.3386613
Tumor size,0.3386613
Tumor Escape,0.3386613
Neoplastic Cell Transformation,0.0189810
Metastatic malignant neoplasm to brain,0.0189810
Tumor size,0.0089910
Malignant neoplasm of breast,0.0089910
Tumor Promotion,0.3386613
Malignant neoplasm of breast,0.0000000
Tumor Microenvironment,0.3386613
Tumor Progression,0.3386613
Epithelial ovarian cancer,0.3386613
Lymphatic Metastasis,0.3386613
High grade serous carcinoma,0.3386613
Colorectal Carcinoma,0.3386613
malignant disease,0.0089910
Tumor Microenvironment,0.0089910
Non-Small Cell Lung Carcinoma,0.0089910
Malignant Neoplasms,0.0189810
