title,factuality_score
MicroRNAs,0.3386613
Female Breast Cancer,0.3386613
"oxoguanine glycosylase 1, human",0.3386613
Single Nucleotide Polymorphism,0.3386613
"DNA, Mitochondrial",0.3386613
RNA,0.3386613
Antisense RNA,0.3386613
Amino Acyl-tRNA Synthetases|TRNA,0.3386613
MicroRNAs,0.0279720
DNA Adducts,0.3386613
DNA,0.3386613
DNA,0.0279720
DNA Damage,0.3386613
"Oligonucleotides, Antisense",0.3386613
Nicotinamide adenine dinucleotide (NAD),0.3386613
"RNA, Untranslated",0.3386613
MicroRNAs,0.0000000
Small Nucleolar RNA,0.3386613
"RNA, Messenger",0.3386613
DNAJB4,0.3386613
DNAJC2,0.3386613
"RNA, circular",0.3386613
DNA topoisomerase II alpha|TOP2A,0.3386613
DNA Repair,0.0009990
"RNA, Untranslated",0.0099900
DNA Repair,0.3386613
RNA metabolic process,0.0000000
DNA Motifs,0.3386613
"Mirn124a microRNA, human",0.0279720
ribonucleotide reductase M2|RRM2,0.3386613
Alternative Splicing,0.0189810
"RNA, Untranslated",0.0189810
"RNA, Circular",0.3386613
O(6)-Methylguanine-DNA Methyltransferase,0.3386613
"RNA, Small Interfering",0.0189810
"RNA, Long Untranslated",0.0189810
pre-miRNA,0.3386613
Allele-Specific Oligonucleotide,0.0189810
O(6)-Methylguanine-DNA Methyltransferase|MGMT,0.0189810
Oligoribonucleotides,0.3386613
Maternal history,0.3386613
Oligonucleotides,0.0279720
Nucleotides,0.3386613
MicroRNAs,0.0009990
Transfer RNA,0.3386613
Maternal history,0.0019980
"RNA, Small Interfering",0.3386613
"RNA, Messenger",0.0279720
"DNA, Complementary",0.3386613
MicroRNAs,0.0099900
Oligonucleotide Arrays,0.3386613
Maternal Mortality,0.3386613
Single Nucleotide Polymorphism,0.0000000
Alternative Splicing,0.3386613
Alternative Splicing,0.0279720
MicroRNAs,0.0189810
MicroRNA 205-5p,0.0089910
"RNA, Circular",0.0189810
Cell-Free DNA,0.3386613
"RNA, Long Untranslated",0.3386613
Oligonucleotides,0.3386613
ectonucleotide pyrophosphatase phosphodiesterase 1,0.3386613
Polynucleotide Adenylyltransferase,0.3386613
cDNA Library,0.3386613
DNA biosynthesis,0.3386613
ral Guanine Nucleotide Exchange Factor|RALGDS,0.0279720
Single Nucleotide Polymorphism,0.0099900
RNA,0.0279720
"RNA, Satellite",0.3386613
Maternal status,0.3386613
RNASEL,0.3386613
RNA I,0.3386613
RNA Interference,0.3386613
Thymine,0.3386613
Ribosomal RNA,0.3386613
DNA Minor Groove Binding Agent,0.3386613
"RNA, Messenger",0.0009990
thioguanine,0.3386613
DNA Methyltransferase Inhibitor,0.3386613
"RNA, Small Untranslated",0.0189810
MicroRNAs,0.0109890
mRNA Precursor,0.3386613
Circulating MicroRNA,0.0279720
8-Oxoguanine DNA Glycosylase,0.3386613
cDNA Library,0.0279720
8-hydroxyguanine,0.3386613
ATP phosphohydrolase|DNAH8,0.3386613
ribonucleotide reductase M2,0.3386613
Nicotinate-nucleotide pyrophosphorylase (carboxylating),0.0089910
mRNA editing,0.0089910
MicroRNAs,0.0089910
Nicotinate-nucleotide pyrophosphorylase (carboxylating),0.3386613
"DNA Breaks, Double-Stranded",0.0189810
MicroRNA 367-3p,0.3386613
MicroRNAs,0.0029970
Dinucleotide Repeats,0.3386613
"RNA, circular",0.0279720
RNase P,0.0189810
internal risk factors,0.3386613
Transfer RNA,0.0189810
RNA I,0.0189810
DNA,0.0000000
DNA Polymerase I,0.3386613
Small RNA,0.3386613
DNA,0.0039960
"8-oxoguanine-DNA glycosylase, human",0.3386613
Alternative Therapies,0.3386613
Oligonucleotides,0.0029970
MicroRNA 205-5p,0.3386613
DNA Methyltransferase,0.0279720
"DNA, Double-Stranded",0.3386613
"DNA, Single-Stranded",0.3386613
"RNA, Messenger",0.0029970
Single Nucleotide Polymorphism,0.0019980
"RNA, Messenger",0.0189810
MicroRNA 335-5p,0.3386613
"RNA, Long Untranslated",0.0279720
Single Nucleotide Polymorphism,0.0029970
Piwi-Interacting RNA,0.3386613
Primary MicroRNA,0.3386613
DNA Binding Agent,0.0189810
"DNA, Catalytic",0.3386613
Antisense RNA,0.0029970
RNA,0.0009990
Cell-Free DNA,0.0279720
"RNA, Untranslated",0.0009990
"Markers, DNA",0.3386613
Tetranucleotide Repeats,0.3386613
DNAJA3,0.3386613
Epstein-Barr virus DNA,0.3386613
DNAJC27,0.3386613
Single Nucleotide Polymorphism,0.0279720
"Oligonucleotides, Antisense",0.0279720
Cell-Free DNA,0.0000000
Alternative Splicing,0.0089910
MicroRNA 19B,0.3386613
RNA Polymerase I|ERVW-4,0.0039960
Serine-tRNA Ligase|TRNA,0.3386613
MicroRNA 1246,0.0189810
Circulating MicroRNA,0.3386613
LONG INTERGENIC NONCODING RNA PINKY|PNKY,0.3386613
Copy Number Polymorphism,0.0189810
