title,factuality_score
Metric (substance),0.3386613
Female Breast Cancer,0.3386613
Mullerian-inhibiting substance receptor,0.3386613
Substance,0.3386613
Sirolimus (substance),0.3386613
Sirolimus (substance),0.0099900
Soluble fiber (substance),0.3386613
Substance with phenol structure,0.3386613
Substance P Receptor,0.3386613
Materials,0.0279720
Insoluble fiber (substance),0.3386613
Cigarette smoke (substance),0.3386613
Animal feed (substance),0.3386613
Sirolimus (substance),0.0279720
Materials,0.3386613
Metric (substance),0.0089910
"Discharge, body substance",0.0109890
