title,factuality_score
Biopsy,0.2177822
Female Breast Cancer,0.2177822
Core needle biopsy,0.0139860
Needle biopsy procedure,0.0509491
Sentinel Lymph Node Biopsy,0.2177822
Biopsy,0.0269730
Fine needle aspiration biopsy,0.2177822
Core needle biopsy,0.2177822
Transbronchial lung biopsy,0.0139860
Fine needle aspiration biopsy,0.0509491
Biopsy,0.0389610
Needle biopsy procedure,0.2177822
Drill biopsy,0.2177822
Biopsy,0.0139860
Excision biopsy,0.2177822
Surgical biopsy,0.2177822
Excision biopsy,0.0139860
Core needle biopsy,0.0269730
Fine needle aspiration biopsy,0.0269730
Sentinel Lymph Node Biopsy,0.0389610
Excision biopsy,0.0389610
Biopsy,0.0509491
Fine needle aspiration biopsy,0.0139860
Biopsy,0.0059940
Excision biopsy,0.0049950
Core needle biopsy,0.0389610
Incisional biopsy - action,0.0139860
Core needle biopsy,0.0509491
Sentinel Lymph Node Biopsy,0.0509491
Incisional biopsy - action,0.0389610
Needle biopsy procedure,0.0269730
Fine needle aspiration biopsy,0.0049950
Puncture biopsy,0.0019980
Sentinel Lymph Node Biopsy,0.0029970
Liquid Biopsy,0.0029970
Sentinel Lymph Node Biopsy,0.0009990
Image-Guided Biopsy,0.0389610
Core needle biopsy,0.0029970
Liquid Biopsy,0.0059940
Biopsy,0.0049950
Core needle biopsy,0.0089910
Sentinel Lymph Node Biopsy,0.0059940
Sentinel Lymph Node Biopsy,0.0019980
Biopsy,0.0179820
Vacuum assisted biopsy,0.0389610
Endoscopic biopsy,0.0139860
Incisional biopsy - action,0.2177822
Puncture biopsy,0.0389610
Sentinel Lymph Node Biopsy,0.0269730
Core needle biopsy,0.0019980
Needle biopsy procedure,0.0139860
Core needle biopsy,0.0059940
Surgical biopsy,0.0389610
Needle biopsy procedure,0.0389610
Sentinel Lymph Node Biopsy,0.0139860
Liquid Biopsy,0.2177822
MRI guided biopsy,0.0049950
Liquid Biopsy,0.0209790
Biopsy,0.0000000
Sentinel Lymph Node Biopsy,0.0089910
Vacuum assisted biopsy,0.2177822
Core needle biopsy,0.0179820
Bone marrow biopsy,0.2177822
Excision biopsy,0.0509491
Puncture biopsy,0.2177822
Fine needle aspiration biopsy,0.0389610
Trucut biopsy,0.2177822
Puncture biopsy,0.0509491
Fine needle aspiration biopsy,0.0059940
Core needle biopsy,0.0049950
Biopsy of breast,0.0389610
Biopsy,0.0029970
Liquid Biopsy,0.0049950
Fine needle aspiration biopsy,0.0019980
Needle biopsy procedure,0.0179820
Needle biopsy procedure,0.0059940
Endoscopic biopsy,0.0509491
Orbital biopsy,0.0269730
Surgical biopsy,0.0139860
Muscle biopsy,0.0139860
Surgical biopsy,0.0509491
Biopsy of ovary,0.0269730
Surgical biopsy,0.0269730
Punch biopsy (procedure),0.0089910
Bone marrow biopsy,0.0209790
Biopsy,0.0209790
Biopsy sampling,0.2177822
Needle biopsy procedure,0.0019980
Biopsy of prostate,0.0389610
Excision biopsy,0.0269730
Sentinel Lymph Node Biopsy,0.0049950
Biopsy,0.0069930
Fine needle aspiration of breast,0.2177822
MRI guided biopsy,0.0389610
Biopsy of skin procedure,0.0209790
Bone marrow biopsy,0.0139860
Incisional biopsy - action,0.0269730
Puncture biopsy,0.0139860
Biopsy of skin procedure,0.0059940
Punch biopsy (procedure),0.0389610
Biopsy of skin procedure,0.2177822
Orbital biopsy,0.0509491
Biopsy of skin procedure,0.0139860
Biopsy,0.0019980
Incisional biopsy - action,0.0509491
Biopsy,0.0089910
Needle biopsy procedure,0.0089910
Punch biopsy (procedure),0.2177822
Biopsy of skin procedure,0.0509491
buccal smear biopsy procedure,0.2177822
Laparoscopy with biopsy,0.0509491
Biopsy of skin procedure,0.0269730
Needle biopsy procedure,0.0049950
Excision biopsy,0.0089910
Core needle biopsy,0.0000000
Percutaneous Breast Biopsy,0.0389610
Microlaryngoscopy,0.0509491
Early Diagnosis,0.2177822
"Spectrum Analysis, Raman",0.2177822
Assay,0.0139860
Author,0.0139860
Immunohistochemistry,0.2177822
Author,0.2177822
Magnetic Resonance Imaging,0.2177822
"Toxicology screen, general",0.0389610
Microarray Analysis,0.2177822
CK2,0.2177822
Cytokeratin-8 Staining Method,0.0029970
HIGH SENSITIVITY,0.0139860
Scanning,0.2177822
Correlation Study,0.0509491
IMMUNOHISTOCHEMICAL,0.0139860
Immunohistochemistry,0.0509491
Medical pathologist,0.2177822
single cell analysis,0.2177822
radiologist,0.2177822
Treatment Protocols,0.2177822
Nurses,0.2177822
Enzyme-Linked Immunosorbent Assay,0.0509491
Physicians,0.2177822
Mucin-1 Staining Method,0.2177822
Fluorescence Spectroscopy,0.2177822
Radioisotope scan of lymphatic system,0.2177822
Research Personnel,0.2177822
Liver Function Tests,0.2177822
Cell marker,0.2177822
Medical Imaging,0.2177822
Immunohistochemistry,0.0389610
IMMUNOHISTOCHEMICAL,0.0509491
Total protein measurement,0.2177822
diagnostic procedure,0.2177822
Autoantibody response,0.2177822
Polymerase Chain Reaction,0.2177822
Image analysis,0.0389610
Liquid Chromatography Mass Spectrometry,0.2177822
Assay,0.2177822
Densitometry,0.2177822
Radiometry,0.2177822
Activated clotting time measurement,0.2177822
thermography,0.2177822
Sample analysis,0.0509491
Flow Cytometry,0.0509491
In Situ Hybridization,0.0139860
Surgeon,0.2177822
Assay,0.0509491
Lymphocyte Count,0.2177822
Radionuclide Imaging,0.2177822
Ultrasonography,0.2177822
Molecular Diagnosis,0.0059940
Plasma prolactin,0.2177822
rapid technique,0.2177822
disease stage,0.2177822
Research Personnel,0.0509491
In Situ Hybridization,0.0509491
Anti-thyroid antibody measurement,0.0509491
In Situ Hybridization,0.0269730
Diagnostic Imaging,0.2177822
Author,0.0509491
"Glucose-6-phosphate dehydrogenase measurement, quantitative",0.2177822
Immunofluorescence,0.0139860
Soft Agar Assay,0.2177822
Morphometric analysis,0.2177822
Morphometric analysis,0.0509491
Histocytochemistry,0.0509491
Immunoblotting,0.2177822
Immunocytochemistry,0.2177822
Radionuclide Imaging,0.0509491
Flow Cytometry,0.2177822
Enzyme Immunoassay,0.2177822
Antibody to islet cells of pancreas measurement,0.2177822
Diaphanography,0.0509491
Plasma oestradiol,0.2177822
Estradiol measurement,0.2177822
IMMUNOHISTOCHEMICAL,0.2177822
Diagnostic Neoplasm Staging,0.2177822
Galactography,0.2177822
Clinical Research,0.2177822
Spectrum Analysis,0.2177822
Palpation,0.2177822
Enzyme Immunoassay,0.0509491
IMMUNOHISTOCHEMICAL,0.0269730
Morphometric analysis,0.0269730
Analysis,0.0509491
Lymphography,0.2177822
Chromatography,0.2177822
Magnetic Resonance Imaging,0.0509491
Radioimmunoassay,0.0069930
Cell Culture Techniques,0.2177822
Microscopy,0.2177822
Adsorption,0.2177822
Histocytochemistry,0.2177822
Sensitivity test,0.0139860
Radioisotope scan of lymphatic system,0.0509491
Image analysis,0.2177822
Immunoperoxidase Techniques,0.2177822
"Preservation, Biological",0.2177822
Lipids measurement,0.2177822
Protein profiling,0.2177822
Diagnostic radiologist,0.2177822
CALCULATION,0.2177822
thermography,0.0069930
mutation analysis,0.2177822
Flow Cytometry,0.0000000
DNA analysis,0.0509491
Clinical Research,0.0059940
Cytometry,0.0509491
Antigen assay,0.2177822
Ultrasonography,0.0059940
Differential Diagnosis,0.0509491
"Spectroscopy, Nuclear Magnetic Resonance",0.0509491
Immunoradiometric Assays,0.2177822
Cytodiagnosis,0.2177822
Immunohistochemistry,0.0269730
Transillumination,0.2177822
Case-Control Studies,0.2177822
mutation analysis,0.0509491
Image analysis,0.0509491
Clinical Trials Data Monitoring Committees,0.2177822
Polymerase Chain Reaction,0.0509491
Breast thermography,0.2177822
Cytogenetic procedure,0.2177822
friend,0.2177822
HIGH SENSITIVITY,0.2177822
Family,0.2177822
Ultrasonography,0.0049950
Fluorescent in Situ Hybridization,0.0509491
Endosonography,0.0049950
"Blotting, Western",0.2177822
HIGH SENSITIVITY,0.0389610
Enzyme-Linked Immunosorbent Assay,0.2177822
Magnetic Resonance Imaging,0.0389610
Breast Self-Examination,0.0059940
Technologist NOS,0.2177822
Clinicians,0.2177822
Pre-surgery evaluation,0.2177822
"Microscopy, Immunoelectron",0.0269730
Magnetic Resonance Imaging,0.0059940
