title,factuality_score
Genetic screening method,0.2177822
Female Breast Cancer,0.2177822
Mass Screening,0.2177822
Genetic Screening,0.2177822
Genetic screening method,0.0019980
High Throughput Screening,0.2177822
Screening Examination,0.2177822
Screening procedure,0.2177822
Genetic screening method,0.0029970
Genetic screening method,0.0000000
Screening Method,0.2177822
Screening procedure,0.0049950
Screening procedure,0.0029970
Screening procedure,0.0059940
Screening procedure,0.0019980
Screening procedure,0.0179820
Genetic screening method,0.0179820
Screening procedure,0.0000000
Screening procedure,0.0389610
Screening Examination,0.0389610
High-Throughput Screening,0.0179820
Screening for malignant neoplasm of lung,0.2177822
Screening procedure,0.0209790
Genetic screening method,0.0209790
Genetic screening method,0.0059940
Genetic screening method,0.0389610
Screening procedure,0.0089910
Genetic screening method,0.0049950
Mass Screening,0.0389610
screening examination,0.2177822
Mass Screening,0.0069930
Genetic screening method,0.0069930
Genetic Screening,0.0059940
Screening procedure,0.0069930
Screening procedure,0.0509491
Initial Diagnosis,0.0000000
Screening for cancer,0.0049950
Initial Diagnosis,0.2177822
genetic analysis,0.2177822
Genetic Variation Analysis,0.2177822
Genetic Marker Expression,0.2177822
Examination by method,0.2177822
