title,factuality_score
Dietary restriction NOS,0.2977023
Female Breast Cancer,0.2977023
"Diet, Fat-Restricted",0.2977023
"Diet, Mediterranean",0.2977023
dietary intervention,0.2977023
High residue diet,0.2977023
Dietary Modification,0.2977023
Radiation diet,0.2977023
Vegetarian diet,0.2977023
Diet good,0.2977023
"Diet, Sodium-Restricted",0.2977023
High carbohydrate diet,0.2977023
"Diet, Mediterranean",0.0129870
"Diet, Western",0.2977023
"Exercise, Aerobic",0.2977023
Dietary control,0.2977023
Feeding and dietary regimes,0.2977023
Reducing diet,0.2977023
