title,factuality_score
Therapeutic procedure,0.2977023
Female Breast Cancer,0.2977023
Mastectomy,0.0119880
"Radiotherapy, Adjuvant",0.0019980
Local Therapy,0.2977023
Therapeutic procedure,0.0019980
Bilateral mastectomy,0.2977023
Estrogen Replacement Therapy,0.2977023
Prophylactic treatment,0.2977023
Mastectomy,0.2977023
Therapeutic procedure,0.0289710
Operative Surgical Procedures,0.2977023
Hormone replacement therapy,0.2977023
Radiation therapy,0.2977023
Bariatric Surgery,0.2977023
Pharmacotherapy,0.2977023
Endocrine therapy,0.2977023
Pharmacotherapy,0.0369630
Reconstructive Surgical Procedures,0.0289710
Therapeutic procedure,0.0129870
Pharmacotherapy,0.0119880
Implantation procedure,0.2977023
"Radiotherapy, Adjuvant",0.2977023
Behavior Therapy,0.2977023
Interventional procedure,0.2977023
Hormone Therapy,0.0009990
Antioestrogen therapy,0.2977023
Therapeutic procedure,0.0000000
Treatment Protocols,0.0119880
Progestogen hormone therapy,0.2977023
Pharmacotherapy,0.0289710
Breast surgery,0.2977023
Therapeutic procedure,0.0369630
Pharmacotherapy,0.0339660
Breast Therapy,0.0009990
Hormone Therapy,0.2977023
Antiretroviral therapy,0.2977023
"Mastectomy, Subcutaneous",0.2977023
Bariatric Surgery,0.0339660
Hormone Therapy,0.0019980
Therapeutic procedure,0.0119880
adjuvant therapy,0.2977023
Injection procedure,0.2977023
Exploration procedure,0.2977023
Immunotherapy,0.0369630
Systemic Therapy,0.0019980
Combined Modality Therapy,0.2977023
Radiation therapy,0.0019980
Hormone Therapy,0.0289710
Breast Cancer Therapeutic Procedure,0.2977023
Combined Modality Therapy,0.0289710
Cryotherapy,0.2977023
Pharmacotherapy,0.0129870
Oestrogen therapy,0.2977023
Reconstructive Surgical Procedures,0.2977023
Treatment Protocols,0.2977023
Contralateral Prophylactic Mastectomy,0.0009990
Anesthesia procedures,0.2977023
Discussion (procedure),0.2977023
Prophylactic Mastectomy,0.2977023
breast implant procedure,0.2977023
Replacement therapy,0.2977023
Breast Cancer Treatment,0.2977023
Bilateral mastectomy,0.0289710
Cryosurgery,0.2977023
Logotherapy,0.2977023
adjuvant therapy,0.0369630
Radiation therapy,0.0119880
First line treatment,0.2977023
adjuvant therapy,0.0119880
Injection procedure,0.0289710
Exploration procedure,0.0369630
Cancer Treatment,0.2977023
Mastectomy,0.0369630
Assessment procedure,0.2977023
Therapeutic procedure,0.0339660
Interventional procedure,0.0000000
Targeted Therapy,0.0339660
Tissue Therapy,0.0019980
"Radiotherapy, Intensity-Modulated",0.2977023
Thoracic Surgical Procedures,0.2977023
Exogenous Hormone Therapy,0.2977023
Gynecologic Surgical Procedures,0.2977023
Estrogen Therapy,0.2977023
Adjuvant Therapy,0.2977023
Complex Decongestive Therapy,0.2977023
Acupuncture procedure,0.2977023
Melatonin,0.2977023
Mandibular right canine abutment,0.2977023
