title,factuality_score
adjuvant therapy,0.1928072
Female Breast Cancer,0.1928072
Neoadjuvant Therapy,0.1928072
adjuvant therapy,0.0379620
Neoadjuvant Therapy,0.0419580
adjuvant therapy,0.0009990
adjuvant therapy,0.0099900
Neoadjuvant Therapy,0.0379620
Neoadjuvant Therapy,0.0129870
adjuvant therapy,0.0129870
adjuvant therapy,0.0419580
Neoadjuvant Therapy,0.0099900
Neoadjuvant Therapy,0.0079920
Neoadjuvant Therapy,0.0139860
Neoadjuvant Therapy,0.0439560
Neoadjuvant Therapy,0.0089910
Adjuvant Therapy,0.0059940
Adjuvant Therapy,0.1928072
Neoadjuvant Therapy,0.0059940
Adjuvant Therapy,0.0089910
Adjuvant Therapy,0.0439560
Adjuvant Therapy,0.0009990
Adjuvant Therapy,0.0139860
Adjuvant Therapy,0.0129870
Neoadjuvant Therapy,0.0109890
Adjuvant Therapy,0.0000000
Neoadjuvant Therapy,0.0009990
adjuvant therapy,0.0079920
Adjuvant Therapy,0.0289710
Neoadjuvant Therapy,0.0049950
Adjuvant Therapy,0.0019980
Neoadjuvant Therapy,0.0019980
Perioperative Adjuvant Therapy,0.1928072
adjuvant therapy,0.0109890
Adjuvant Therapy,0.0379620
Adjuvant Therapy,0.0079920
Adjuvant Therapy,0.0099900
Neoadjuvant Therapy,0.0000000
Oestrogen therapy,0.0419580
Conservative therapy,0.0379620
Oestrogen therapy,0.0099900
Salvage Therapy,0.0419580
Proton therapy,0.0379620
Maintenance therapy,0.0419580
Neoadjuvant Systemic Therapy,0.1928072
Neoadjuvant Systemic Therapy,0.0129870
Neoadjuvant Systemic Therapy,0.0109890
Thrombolytic Therapy,0.0379620
Conservative therapy,0.0419580
Cytokine therapy,0.0419580
Oestrogen therapy,0.0109890
Neoadjuvant Systemic Therapy,0.0439560
Photothermal Therapy,0.0000000
Cardiovascular therapy,0.0379620
Antioestrogen therapy,0.0419580
Neoadjuvant Systemic Therapy,0.0009990
Neoadjuvant Systemic Therapy,0.0089910
Oestrogen therapy,0.0379620
Parenteral therapy,0.0379620
Steroid therapy,0.0379620
enzyme therapy,0.0419580
Electroconvulsive Therapy,0.0419580
Vaccine Therapy,0.0379620
Current Therapy,0.0109890
Neoadjuvant Systemic Therapy,0.0000000
Antiinflammatory therapy,0.0109890
Salvage Therapy,0.0379620
Proton Therapy,0.0109890
Neoadjuvant Systemic Therapy,0.0079920
Adjuvant Analgesic,0.0379620
Antioestrogen therapy,0.0379620
Cognitive Therapy,0.0419580
Antioestrogen therapy,0.0099900
Boron Neutron Capture Therapy,0.0379620
Behavior Therapy,0.0099900
antibody therapy,0.0419580
