title,factuality_score
Chinese herbal medicine,0.1928072
Female Breast Cancer,0.1928072
Acupuncture procedure,0.1928072
"Acupuncture, Ear",0.1928072
Complementary therapies,0.1928072
Electroacupuncture,0.1928072
Homeopathy,0.1928072
Chinese herbal medicine,0.0000000
Chinese herbal medicine,0.0099900
Complementary and alternative medicine,0.1928072
Complementary therapies,0.0439560
Homeopathy,0.0289710
Acupuncture procedure,0.0129870
Complementary therapies,0.0419580
Complementary and Alternative Therapies,0.1928072
Acupuncture and Oriental Medicine,0.1928072
