title,factuality_score
Adriamycin,0.1928072
Female Breast Cancer,0.1928072
Doxorubicin,0.1928072
Cytotoxic agent,0.1928072
Cyclophosphamide,0.0419580
Liposomal Doxorubicin,0.1928072
Anthracyclines,0.0419580
"Chemotherapy, Adjuvant",0.1928072
Postoperative chemotherapy,0.1928072
high-dose chemotherapy,0.0419580
Chemoprevention,0.1928072
Chemopreventive Agent,0.1928072
Chemotherapy-Oncologic Procedure,0.1928072
Chemotherapeutic agent,0.1928072
Pre-operative chemotherapy,0.1928072
Epirubicin,0.1928072
Cytotoxic Chemotherapy,0.1928072
Cyclophosphamide,0.1928072
Cytotoxic agent,0.0419580
Combination Chemotherapy,0.1928072
Adriamycin,0.0419580
Ifosfamide,0.1928072
Etoposide,0.0419580
Doxorubicin,0.0419580
high-dose chemotherapy,0.1928072
Fluorouracil,0.1928072
Combination Chemotherapy,0.0379620
Chemotherapeutic agent,0.0419580
Epirubicin,0.0099900
Combination Chemotherapy,0.0419580
Fluorouracil,0.0419580
Epirubicin,0.0419580
high-dose chemotherapy,0.0109890
Taxol,0.0419580
cyclophosphamide/fluorouracil/methotrexate protocol,0.1928072
"Chemotherapy, Adjuvant",0.0099900
Ifosfamide,0.0419580
Cytotoxic Chemotherapy,0.0419580
Cisplatin,0.1928072
Fluorouracil,0.0379620
Etoposide,0.0079920
"Chemotherapy, Adjuvant",0.0379620
Chemotherapy-Oncologic Procedure,0.0419580
Mitoxantrone,0.1928072
Methotrexate,0.0419580
Methotrexate,0.1928072
CYCLOPHOSPHAMIDE TREATMENT,0.1928072
Vincristine,0.0419580
cyclophosphamide/fluorouracil/methotrexate protocol,0.0379620
Mitoxantrone,0.0419580
Cyclophosphamide,0.0079920
cyclophosphamide/fluorouracil,0.1928072
Cisplatin,0.0379620
Cisplatin,0.0419580
Postoperative chemotherapy,0.0379620
Carboplatin,0.1928072
bendamustine,0.0379620
cyclophosphamide/fluorouracil/methotrexate/prednisone/tamoxifen protocol,0.1928072
Chlorambucil,0.0419580
Adriamycin,0.0379620
cyclophosphamide/doxorubicin/prednisone/teniposide protocol,0.0419580
Regional Chemotherapy,0.1928072
Mitoxantrone,0.0379620
Methotrexate,0.0379620
Vincristine,0.1928072
"Chemotherapy, Adjuvant",0.0109890
Cyclophosphamide,0.0379620
Cyclophosphamide,0.0109890
Carboplatin,0.0419580
cyclophosphamide/doxorubicin/prednisone/teniposide protocol,0.1928072
High-Dose Chemotherapy with Autologous Stem Cell Transplant,0.0419580
Taxol,0.1928072
Anthracyclines,0.1928072
Intrathecal Chemotherapy,0.1928072
Cytotoxic agent,0.0109890
CHEMOTHERAPY CYCLOPHOSPHAMIDE,0.0099900
Methotrexate,0.0099900
high-dose chemotherapy,0.0379620
Photochemotherapy,0.0379620
Thalidomide,0.1928072
Etoposide,0.1928072
Thalidomide,0.0419580
Radiochemotherapy NOS,0.1928072
Photochemotherapy,0.1928072
Oral chemotherapy,0.1928072
cisplatin liposomal,0.1928072
Intravenous chemotherapy,0.1928072
Cyclophosphamide,0.0099900
cisplatin/doxorubicin/mitomycin protocol,0.1928072
Doxorubicin,0.0379620
adriamycinol,0.1928072
Epirubicin,0.0379620
chemosensitization/potentiation,0.1928072
Doxorubicin,0.0099900
CHEMOTHERAPY CYCLOPHOSPHAMIDE,0.1928072
cyclophosphamide/doxorubicin/fluorouracil protocol,0.1928072
Oral chemotherapy,0.0419580
Epirubicin,0.0079920
Cytotoxic Chemotherapy,0.0099900
"Chemotherapy, Adjuvant",0.0059940
doxorubicin,0.1928072
Chemo-radiotherapy,0.0059940
etoposide,0.0289710
Cytotoxic agent (product),0.1928072
"Chemotherapy, Adjuvant",0.0089910
cyclophosphamide,0.1928072
doxorubicin liposome,0.1928072
"Chemotherapy, Adjuvant",0.0439560
low-dose chemotherapy,0.0289710
Chemotherapy cycle,0.0009990
cisplatin,0.0439560
