title,factuality_score
Tamoxifen,0.1928072
Female Breast Cancer,0.1928072
Hormone replacement therapy,0.1928072
Phytoestrogens,0.1928072
"Estrogens, Synthetic",0.0419580
Aromatase Inhibitors,0.0379620
Aromatase Inhibitors,0.1928072
Tamoxifen,0.0379620
Estrogens,0.1928072
estrone sulfate,0.1928072
Progestins,0.1928072
Hormone replacement therapy,0.0419580
Estrogen Replacement Therapy,0.1928072
Progestins,0.0379620
Raloxifene,0.1928072
Diethylstilbestrol,0.0419580
Gonadotropin-Releasing Hormone Analog,0.1928072
Non-Steroidal Aromatase Inhibitor,0.1928072
Buserelin|EREG|ESR1,0.0419580
Tamoxifen,0.0419580
Medroxyprogesterone 17-Acetate,0.1928072
Medroxyprogesterone 17-Acetate,0.0379620
Megestrol Acetate,0.0419580
Gonadotropin-Releasing Hormone Analog,0.0419580
Estrone,0.1928072
Androgen Antagonists,0.1928072
Buserelin,0.1928072
Megestrol Acetate,0.1928072
Aromatase Inhibitors,0.0419580
Progestins,0.0419580
Medroxyprogesterone 17-Acetate,0.0419580
3-hydroxytamoxifen,0.0419580
3-hydroxytamoxifen,0.1928072
Tamoxifen,0.0109890
Tamoxifen,0.0099900
Tamoxifen,0.0009990
Tamoxifen,0.0129870
Steroidal Aromatase Inhibitor,0.1928072
Tamoxifen,0.0000000
Tamoxifen Citrate,0.1928072
Estrogens,0.0099900
Aromatase Inhibitors,0.0099900
MEDROXYPROGESTERONE TREATMENT,0.0379620
Megestrol Acetate,0.0379620
Non-Steroidal Aromatase Inhibitor,0.0419580
Aromatase Inhibitors,0.0129870
Postmenopausal Hormone Replacement Therapy,0.1928072
hydroxytamoxifen,0.1928072
Raloxifene,0.0099900
Tamoxifen 20 MG,0.1928072
Estrogens,0.0419580
Hormone Therapy,0.0289710
Hormone Therapy,0.1928072
tamoxifen,0.1928072
Aromatase Inhibitors,0.0009990
Aromatase Inhibitors,0.0059940
Tamoxifen therapy,0.1928072
tamoxifen,0.0289710
estrogens,0.0139860
Hormone Therapy,0.0089910
Hormone Therapy,0.0139860
Hormone Therapy,0.0000000
tamoxifen,0.0139860
estrogens,0.1928072
Hormone Therapy,0.0059940
tamoxifen,0.0089910
Aromatase Inhibitors,0.0089910
Aromatase Inhibitors,0.0000000
tamoxifen,0.0379620
Aromatase Inhibitors,0.0139860
Hormone Therapy,0.0379620
Hormone Therapy,0.0439560
Hormone Therapy,0.0129870
Hormone Therapy,0.0019980
Tamoxifen,0.0049950
Diethylstilbestrol,0.1928072
Estrogens,0.0379620
Tamoxifen Citrate,0.0419580
Buserelin,0.0379620
Medroxyprogesterone,0.0419580
4-hydroxytamoxifen,0.1928072
"Estrogens, Non-Steroidal",0.1928072
pyrrolidino-4-iodotamoxifen,0.0419580
Tamoxifen,0.0079920
Progestogen hormone therapy,0.1928072
Estrogens,0.0129870
"ESTROGENS,VAGINAL",0.1928072
Tamoxifen therapy,0.0139860
Aromatase Inhibitors,0.0289710
tamoxifen,0.0009990
raloxifene hydrochloride,0.1928072
estrogens,0.0289710
Hormone Therapy,0.0099900
tamoxifen,0.0439560
tamoxifen,0.0129870
hydroxytamoxifen,0.0129870
"4-hydroxy-N-desmethyltamoxifen, (Z)-isomer",0.0289710
Non-Steroidal Aromatase Inhibitor,0.0089910
MEDROXYPROGESTERONE TREATMENT,0.1928072
Tamoxifen 20 MG,0.0379620
Estrogen Replacement Therapy,0.0379620
Steroidal Aromatase Inhibitor,0.0419580
Diethylstilbestrol,0.0009990
Conjugated Equine Estrogens,0.1928072
Estrogen hormone therapy,0.1928072
Exogenous Hormone Therapy,0.1928072
Hormone replacement therapy,0.0379620
Diethylstilbestrol,0.0379620
Tamoxifen 40 MG,0.0419580
tamoxifen,0.0000000
tamoxifen citrate,0.1928072
tamoxifen,0.0059940
"Estrogens, Synthetic",0.1928072
Progestogen hormone therapy,0.0419580
Ablative hormone therapy,0.0379620
Medroxyprogesterone 17-Acetate,0.0109890
N-desmethyltamoxifen,0.1928072
Aromatase Inhibitors,0.0109890
Raloxifene Hydrochloride,0.1928072
Estrone,0.0049950
Raloxifene,0.0379620
Tamoxifen therapy,0.0379620
Hormone Therapy,0.0079920
4-hydroxy-N-desmethyltamoxifen,0.0139860
Thyroid hormone replacement therapy,0.1928072
Hormone Therapy,0.0009990
Androgen Antagonists,0.0289710
raloxifene,0.1928072
Buserelin,0.0419580
Raloxifene,0.0009990
megestrol acetate,0.1928072
estrogens,0.0379620
tamoxifen,0.0019980
Buserelin|EREG|ESR1,0.1928072
3-hydroxytamoxifen,0.0379620
pyrrolidino-4-iodotamoxifen,0.1928072
Hydroxyestrones,0.1928072
tamoxifen,0.0099900
tamoxifen,0.0079920
estrone,0.1928072
Oral form medroxyprogesterone,0.0419580
Medroxyprogesterone,0.1928072
Megestrol Acetate,0.0099900
Tamoxifen Citrate,0.0379620
Non-Steroidal Aromatase Inhibitor,0.0289710
4-hydroxy-N-desmethyltamoxifen,0.1928072
Steroidal Aromatase Inhibitor,0.0289710
"4-hydroxy-N-desmethyltamoxifen, (Z)-isomer",0.0139860
Tamoxifen 10 MG,0.1928072
diethylstilbestrol,0.0289710
Androgen Antagonists,0.0439560
Aromatase Inhibitors,0.0019980
Angiogenesis Inhibitors,0.1928072
inhibitors,0.0419580
inhibitors,0.1928072
Goserelin Acetate,0.1928072
inhibitors,0.0109890
Cyclooxygenase 2 Inhibitors,0.1928072
mullerian-inhibiting hormone,0.1928072
Estrogen Progestin Replacement Therapy,0.0379620
Thyrotropin-Releasing Hormone,0.1928072
Cyproterone Acetate,0.0099900
Acetate,0.0079920
norethindrone acetate,0.0379620
Steroid hormone,0.1928072
parathyroid hormone-related protein|PTHLH,0.1928072
Acetate,0.0419580
Aromatase inhibition therapy,0.1928072
Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.1928072
Angiogenesis Inhibitors,0.0419580
Enzyme Inhibitors,0.1928072
inhibitors,0.0379620
Angiotensin-Converting Enzyme Inhibitors,0.1928072
Leuprolide Acetate,0.1928072
Serotonin Uptake Inhibitors,0.1928072
Follicle Stimulating Hormone|BRD2,0.1928072
Hormone Antagonists,0.1928072
Protein-tyrosine kinase inhibitor,0.0379620
Tubulin Inhibitors,0.1928072
Poly(ADP-ribose) Polymerase Inhibitors,0.1928072
Poly(ADP-ribose) Polymerase Inhibitors,0.0439560
inhibitors,0.0439560
Luteinizing Hormone-releasing Hormone Agonist,0.1928072
Proton Pump Inhibitors,0.0289710
PD-L1 Inhibitors,0.0439560
Selective Serotonin Reuptake Inhibitors,0.0379620
Poly(ADP-ribose) Polymerase Inhibitors,0.0289710
Poly(ADP-ribose) Polymerase Inhibitors,0.0139860
inhibitors,0.0019980
Gold Therapy,0.0139860
inhibitors,0.0089910
inhibitors,0.0289710
Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.0099900
Estrogen Therapy,0.0139860
Proton Pump Inhibitors,0.0089910
Tumor Necrosis Factor Inhibitors,0.1928072
Poly(ADP-ribose) Polymerase Inhibitors,0.0019980
Hormone manipulation,0.1928072
Megestrol,0.0419580
Acetate,0.0379620
Growth Inhibitors,0.1928072
Histone Deacetylase Inhibitor,0.0379620
Follicle Stimulating Hormone,0.1928072
Serine Proteinase Inhibitors,0.0099900
Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.0109890
Estrogen Therapy,0.1928072
Current Therapy,0.0139860
Nicotine replacement therapy,0.1928072
PD-L1 Inhibitors,0.0009990
Angiogenesis Inhibitors,0.0439560
PD-L1 Inhibitors,0.1928072
Luteinizing Hormone-releasing Hormone Agonist,0.0019980
Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.0439560
Proton Pump Inhibitors,0.0439560
Valve Replacement,0.1928072
Hormone manipulation,0.0379620
Luteinizing Hormone,0.1928072
Cyclooxygenase Inhibitors,0.1928072
Hormone manipulation,0.0129870
Hormone manipulation,0.0419580
17-(allylamino)-17-demethoxygeldanamycin,0.1928072
Hormone suppression therapy,0.1928072
ethyl acetate,0.1928072
Cyclooxygenase 2 Inhibitors,0.0379620
Aromatase,0.1928072
Angiogenesis Inhibitors,0.0379620
17-(allylamino)-17-demethoxygeldanamycin,0.0379620
Ribonucleotide Reductase Inhibitors,0.1928072
Gonadotropin releasing hormone antagonist,0.1928072
inhibitors,0.0139860
Matrix Metalloproteinase Inhibitors,0.1928072
Poly(ADP-ribose) Polymerase Inhibitors,0.0059940
Luteinizing Hormone-releasing Hormone Agonist,0.0089910
MTOR Inhibitors,0.1928072
Angiogenesis Inhibitors,0.0019980
parathyroid hormone-related protein,0.1928072
Growth Inhibitors,0.0379620
inhibitors,0.0000000
Proton Pump Inhibitors,0.1928072
hydrocortisone acetate,0.0419580
Goserelin Acetate|EREG|ESR1,0.0099900
Acetate,0.1928072
Protein Kinase Inhibitors,0.1928072
Angiogenesis Inhibitors,0.0289710
PARP inhibitor therapy,0.1928072
elliptinium acetate,0.0419580
gut hormone,0.1928072
Luteinizing Hormone-releasing Hormone Agonist,0.0419580
Farnesyl Transferase Inhibitor,0.0379620
Cyclooxygenase Inhibitors,0.0129870
Cyclooxygenase 2 Inhibitors,0.0129870
Cyclooxygenase 2 Inhibitors,0.0099900
Aromatase|CYP19A1,0.1928072
reproductive hormone,0.1928072
Sex Hormone-Binding Globulin,0.1928072
Replacement therapy,0.1928072
Histone deacetylase inhibitor,0.0379620
Poly(ADP-ribose) Polymerase Inhibitors,0.0000000
Topoisomerase Inhibitors,0.1928072
Cyclooxygenase 2 Inhibitors,0.0439560
Cyclooxygenase Inhibitors,0.0439560
Cyproterone Acetate,0.0419580
inhibitors,0.0129870
Preoperative hormone treatment,0.1928072
Dihydrofolate Reductase Inhibitors,0.1928072
Goserelin Acetate|EREG|ESR1,0.1928072
Angiogenesis Inhibitors,0.0109890
