title,factuality_score
Radiation therapy,0.1928072
Female Breast Cancer,0.1928072
Radiation therapy,0.0099900
Radiosurgery,0.1928072
Radiofrequency ablation,0.1928072
Radiation therapy,0.0129870
Estradiol,0.1928072
Brachytherapy,0.1928072
intraoperative radiotherapy,0.1928072
"Radiotherapy, Targeted",0.1928072
intraoperative radiotherapy,0.0129870
Radiation therapy,0.0379620
intraoperative radiotherapy,0.0379620
X-Ray Therapy,0.1928072
Radiopharmaceuticals,0.1928072
"Radiotherapy, Intensity-Modulated",0.1928072
"Radiotherapy, Adjuvant",0.1928072
"Radiation Therapy, Lymphatic",0.1928072
"Radiotherapy, Adjuvant",0.0079920
External radiotherapy NOS,0.1928072
Radiation therapy,0.0109890
Radiation therapy,0.0419580
Estradiol,0.0379620
Megavoltage radiation therapy,0.0379620
Cobalt 60 brachytherapy,0.0379620
radioimmunoguided surgery,0.1928072
Radiation therapy,0.0009990
"Radiotherapy, Conformal",0.1928072
Breast radiotherapies,0.1928072
Stereotactic radiotherapy,0.1928072
Radiotherapy planning,0.1928072
Teleradiotherapy using electrons,0.1928072
Radiation therapy,0.0000000
Cobalt 60 brachytherapy,0.1928072
Radiographic-therapeutic unit device,0.1928072
Breast radiotherapies,0.0379620
Radiofrequency Ablation Systems,0.0099900
External radiotherapy NOS,0.0099900
Teleradiotherapy procedure,0.0129870
"Radiotherapy, Conformal",0.0379620
Radiation therapy,0.0079920
Ethinyl Estradiol,0.0419580
Whole-Brain Radiotherapy,0.1928072
External Beam Radiation Therapy,0.1928072
Radionuclide therapy,0.1928072
"Radiotherapy, Adjuvant",0.0009990
"Radiotherapy, Adjuvant",0.0099900
Radiation therapy,0.0049950
External Beam Radiation Therapy,0.0129870
Radiosurgery,0.0419580
Teleradiotherapy procedure,0.1928072
"Radiotherapy, Adjuvant",0.0129870
"Radiotherapy, Image-Guided",0.1928072
Therapeutic radiology procedure,0.1928072
Radiotherapy planning,0.0059940
estradiol,0.1928072
Post-mastectomy radiotherapy,0.1928072
Teleradiotherapy procedure,0.0059940
Radioembolization,0.1928072
post surgery radiation therapy,0.1928072
Therapeutic radiology procedure,0.0089910
Hypofractionated Radiation Therapy,0.1928072
Intraoperative Radiation Therapy,0.1928072
"Radiotherapy, Adjuvant",0.0059940
Intraoperative Radiation Therapy,0.0059940
Post-mastectomy radiotherapy,0.0379620
Boost radiation therapy,0.1928072
Magnetic Resonance-Guided Radiotherapy,0.1928072
Post-mastectomy radiotherapy,0.0439560
Adjuvant Radiation Therapy,0.1928072
"Radiotherapy, Intensity-Modulated",0.0009990
"Radiotherapy, Adjuvant",0.0379620
External Beam Radiation Therapy,0.0009990
Hypofractionated radiation therapy,0.1928072
Neoadjuvant Radiotherapy,0.0009990
Radiofrequency Ablation,0.1928072
Stereotactic Body Radiotherapy,0.1928072
post surgery radiation therapy,0.0289710
Hypofractionated radiation therapy,0.0009990
Stereotactic Ablative Radiotherapy,0.1928072
post surgery radiation therapy,0.0009990
Hypofractionated radiation therapy,0.0059940
External Beam Radiation Therapy,0.0079920
Stereotactic Body Radiotherapy,0.0019980
Accelerated Radiation Therapy,0.0059940
Accelerated Radiation Therapy,0.1928072
Transarterial Radioembolization,0.0019980
Conventional Radiotherapy,0.1928072
post surgery radiation therapy,0.0000000
Therapeutic radiology procedure,0.0379620
post surgery radiation therapy,0.0379620
Radioimmunotherapy,0.1928072
Intraoperative Radiation Therapy,0.0129870
Adjuvant Radiation Therapy,0.0129870
Conventional Radiotherapy,0.0059940
Stereotactic Body Radiation Therapy,0.0059940
External Beam Radiation Therapy,0.0059940
High dose brachytherapy (procedure),0.0059940
Adjuvant Radiation Therapy,0.0439560
"Radiosurgery, Stereotactic",0.0019980
Breast Cancer Radiotherapy,0.1928072
photon radiation therapy,0.1928072
radioactive agent,0.1928072
"Radiotherapy, Targeted",0.0129870
Brachytherapy,0.0379620
Interstitial brachytherapy,0.1928072
estradiol 3-benzoate,0.1928072
Radiofrequency ablation,0.0419580
Breast radiotherapies,0.0099900
Radioimmunotherapy,0.0419580
Breast interstitial brachytherapy,0.1928072
"Deep radiation therapy, 200-300 KVP",0.1928072
Stereotactic radiotherapy,0.0419580
Radiopharmaceuticals,0.0419580
Adjuvant Radiation Therapy,0.0059940
Stereotactic Ablative Radiotherapy,0.0059940
Radiopharmaceuticals,0.0379620
Whole brain radiation therapy,0.1928072
Radiotherapy fractionation,0.1928072
estradiol,0.0089910
Interstitial Radiation Therapy,0.0059940
post surgery radiation therapy,0.0129870
Stereotactic Body Radiotherapy,0.0289710
Interstitial Radiation Therapy,0.1928072
post surgery radiation therapy,0.0439560
Neoadjuvant Radiotherapy,0.1928072
ethinyl estradiol,0.1928072
Radiotherapy fractionation,0.0129870
Radioimmunoguided surgery,0.1928072
"Radiosurgery, Stereotactic",0.1928072
Therapeutic radiology procedure,0.0059940
Therapeutic radiology procedure,0.0129870
Interstitial Radiation Therapy,0.0019980
Surface Radiotherapy,0.1928072
Stereotactic Body Radiation Therapy,0.1928072
Intensity modulated radiation therapy plan,0.1928072
Boost radiation therapy (procedure),0.1928072
"Radiotherapy Systems, Linear Accelerator",0.1928072
Intraoperative Radiation Therapy,0.0009990
estradiol,0.0139860
"Radiotherapy, Intensity-Modulated",0.0059940
Infrared radiation therapy,0.1928072
cancer radioimmunotherapy,0.1928072
Electron radiation therapy,0.0099900
radiosensitization,0.0379620
X-Ray Therapy,0.0049950
Teleradiotherapy procedure,0.0379620
Estradiol Antagonists,0.0379620
External Beam Radiation Therapy,0.0379620
External radiotherapy NOS,0.0379620
Photon radiation therapy,0.1928072
Brachytherapy implant,0.1928072
Radioimmunoconjugates,0.0419580
Gamma Knife Radiosurgery,0.1928072
Electron radiation therapy,0.1928072
"Radiotherapy, Intensity-Modulated",0.0419580
Brachytherapy,0.0129870
Breast external beam radiation therapy,0.1928072
Whole-Brain Radiotherapy,0.0419580
"Radiotherapy, Adjuvant",0.0419580
Breast Cancer Radiotherapy,0.0000000
Adjuvant Radiation Therapy,0.0139860
Hypofractionated Radiation Therapy,0.0059940
"Radiotherapy, Conformal",0.0059940
Surface Guided Radiation Therapy,0.1928072
Intra-operative electron radiation therapy,0.0059940
Boost radiation therapy,0.0009990
"Radiotherapy, Adjuvant",0.0019980
"Radiosurgery, Stereotactic",0.0059940
Carbon Ion Radiotherapy,0.0059940
Gamma Knife Radiosurgery,0.0379620
Estradiol,0.0419580
Ethinyl Estradiol,0.0379620
Radiosurgery,0.0000000
2-methoxyestradiol,0.0379620
radioimmunoguided surgery,0.0379620
Radiolabeled Monoclonal Antibodies,0.0379620
Radiofrequency ablation,0.0099900
Estradiol,0.0099900
Radiosurgery,0.0379620
intraoperative radiotherapy,0.0099900
Radiofrequency ablation,0.0379620
[V]Radiotherapy session,0.1928072
Breast Cancer Radiotherapy,0.0009990
Cancer Radiotherapy treatment planning,0.1928072
post surgery radiation therapy,0.0059940
Breast Cancer Radiotherapy,0.0059940
"Radiotherapy, Targeted",0.0059940
Post-mastectomy radiotherapy,0.0000000
estradiol,0.0289710
Whole brain radiation therapy,0.0439560
Radiofrequency Ablation,0.0059940
spatially fractionated radiation therapy,0.1928072
Hypofractionated radiation therapy,0.0079920
Radiofrequency Ablation,0.0019980
Radiosensitization,0.1928072
Radiotherapy fractionation,0.0059940
Carbon Ion Radiotherapy,0.0439560
Neoadjuvant Radiotherapy,0.0439560
Combined radiotherapy,0.1928072
Involved-Field Radiation Therapy,0.1928072
Hypofractionated radiation therapy,0.0129870
Therapeutic radiology procedure,0.0439560
Hypofractionated whole breast radiation therapy,0.1928072
Stereotactic Body Radiotherapy,0.0089910
Post-mastectomy radiotherapy,0.0009990
Radiosurgery,0.0059940
"Radiotherapy, Adjuvant",0.0000000
"Radiotherapy, Adjuvant",0.0439560
"Radiotherapy Systems, Cobalt",0.1928072
High dose brachytherapy,0.1928072
Ethinyl Estradiol,0.1928072
Teleradiotherapy using electrons,0.0419580
Megavoltage radiation therapy,0.1928072
Teleradiotherapy procedure,0.0099900
External Beam Radiation Therapy,0.0099900
radiosensitization,0.1928072
Radioimmunotherapy,0.0379620
Radiation therapy management,0.1928072
Boost radiation therapy,0.0059940
Post-mastectomy radiotherapy,0.0059940
Therapeutic radiology procedure,0.0079920
Palliative Radiation Therapy,0.1928072
Whole brain radiation therapy,0.0289710
Radioimmunotherapy,0.0289710
Post-mastectomy radiotherapy,0.0289710
"Radiotherapy, Targeted",0.0009990
Yttrium-90 Microsphere Radioembolization,0.0019980
Surface Radiotherapy,0.0019980
Interstitial Radiation Therapy,0.0439560
Radioembolization,0.0289710
"Radiotherapy, Intensity-Modulated",0.0289710
Brachytherapy,0.0059940
spinal Radiosurgery,0.0289710
Radiation therapy administration,0.1928072
2-methoxyestradiol,0.1928072
Radionuclide therapy,0.0419580
Radiotherapy planning,0.0009990
Brachytherapy device,0.1928072
Brachytherapy,0.0099900
"Radiotherapy, Targeted",0.0099900
Carbon Ion Radiotherapy,0.1928072
Adjuvant Radiation Therapy,0.0009990
Yttrium-90 Microsphere Radioembolization,0.0289710
Boost radiation therapy,0.0099900
Boost radiation therapy (procedure),0.0059940
Radiosensitization,0.0439560
post surgery radiation therapy,0.0079920
"Radiosurgery, Stereotactic",0.0089910
"Radiotherapy, Adjuvant",0.0089910
"Radiosurgery, Stereotactic",0.0439560
17 alpha-ethinyl-3-isopropylsulfonyloxyestradiol,0.0419580
Combined radiotherapy NOS,0.1928072
X-Ray Therapy,0.0379620
Brachytherapy device,0.0419580
Gamma Knife Radiosurgery,0.0099900
Whole-Brain Radiotherapy,0.0379620
Brachytherapy,0.0079920
Breast Cancer Radiotherapy,0.0129870
Radiosensitization,0.0089910
Limited Radiation Therapy,0.1928072
"Radiotherapy, Adjuvant",0.0289710
Brachytherapy implant,0.0379620
Free estradiol,0.1928072
Radiotherapy planning,0.0379620
Peptide Receptor Radionuclide Therapy,0.0009990
cancer radiation therapy,0.0099900
"Radiosurgery, Stereotactic",0.0139860
Adjuvant Radiation Therapy,0.0000000
cancer radiation therapy,0.1928072
Active Breathing Coordinator-Mediated Radiation Therapy,0.0009990
Radioimmunotherapy,0.0439560
Therapeutic radiology procedure,0.0009990
Hypofractionated Image-Guided Radiation Therapy,0.1928072
High dose brachytherapy (procedure),0.1928072
Stereotactic Ablative Radiotherapy,0.0289710
Therapeutic procedure,0.1928072
Therapeutic procedure,0.0419580
Combined Modality Therapy,0.0419580
Combined Modality Therapy,0.1928072
Systemic Therapy,0.1928072
Therapeutic Intervention,0.1928072
Systemic Therapy,0.0419580
Oestrogen therapy,0.1928072
Therapeutic procedure,0.0379620
Therapeutic procedure,0.0099900
Combination Drug Therapy,0.1928072
radiation immunosuppression,0.0379620
Combined Modality Therapy,0.0099900
"Laser Therapy, Low-Level",0.1928072
Proton therapy,0.1928072
Local Therapy,0.1928072
Therapeutic Corynebacterium Parvum,0.1928072
Cell Therapy,0.1928072
Ovarian ablation,0.1928072
Conservative therapy,0.1928072
Systemic Therapy,0.0379620
Therapeutic procedure,0.0129870
Ablation,0.0129870
