title,factuality_score
Group Therapy,0.0419580
Female Breast Cancer,0.0419580
Medical Castration,0.0379620
Supportive care,0.0419580
Cold Therapy,0.1928072
"Psychotherapy, Multiple",0.0379620
Group Psychotherapy,0.0419580
Group Psychotherapy,0.1928072
"Psychotherapy, Multiple",0.1928072
Supportive care,0.1928072
Palliative Care,0.0289710
"Psychotherapy, Multiple",0.0439560
"Psychotherapy, Multiple",0.0139860
"Psychotherapy, Multiple",0.0419580
Group Psychotherapy,0.0379620
"Psychotherapy, Brief",0.1928072
Psychotherapy,0.1928072
Group Therapy,0.1928072
Support Group Therapy,0.1928072
"Psychotherapy, Multiple",0.0089910
Palliative Care,0.1928072
Palliative Care,0.0019980
Interpersonal psychotherapy,0.1928072
Psychodynamic psychotherapy,0.1928072
Palliative Care,0.0139860
Palliative Care,0.0009990
existential psychotherapy,0.1928072
Individual psychotherapy,0.1928072
"Psychotherapy, Multiple",0.0289710
"Psychotherapy, Brief",0.0419580
"Psychotherapy, Multiple",0.0109890
