title,factuality_score
Autologous Stem Cell Transplantation,0.0419580
Female Breast Cancer,0.0419580
Excision,0.1928072
Breast-Conserving Surgery,0.1928072
Mastectomy,0.1928072
Operative Surgical Procedures,0.1928072
Cryosurgery,0.1928072
Breast surgery,0.1928072
Bilateral mastectomy,0.1928072
Modified radical mastectomy,0.1928072
Operative Surgical Procedures,0.0129870
Mastectomy,0.0129870
Breast-Conserving Surgery,0.0049950
Dissection,0.1928072
"Surgery, Day",0.1928072
Mastectomy,0.0049950
Segmental Mastectomy,0.1928072
Mastectomy,0.0419580
Mastectomy,0.0009990
Mastectomy,0.0099900
Axillary Lymph Node Dissection,0.1928072
Excision,0.0419580
Operative Surgical Procedures,0.0419580
Reconstructive Surgical Procedures,0.1928072
Operative Surgical Procedures,0.0379620
radical mastectomy,0.0079920
Extended radical mastectomy,0.1928072
Lymph node excision,0.0099900
Excision,0.0379620
Excision,0.0009990
radical mastectomy,0.1928072
Maxillary left canine abutment,0.1928072
Quadrantectomy,0.1928072
Skin Transplantation,0.0379620
Lymph node excision,0.0379620
radical mastectomy,0.0379620
Autologous Stem Cell Transplantation,0.1928072
Lymph node excision,0.0000000
Dissection,0.0099900
Autologous Stem Cell Transplantation,0.0379620
Implantation procedure,0.1928072
"Transplantation, Autologous",0.0379620
Excision of neoplasm,0.1928072
Mandibular right third molar abutment,0.1928072
Excision,0.0129870
Quadrantectomy,0.0379620
"Mastectomy, Subcutaneous",0.0379620
Operative Surgical Procedures,0.0049950
Dissection,0.0379620
Simple mastectomy,0.1928072
radical mastectomy,0.0099900
"Mastectomy, Subcutaneous",0.0099900
Quadrantectomy,0.0099900
Mastectomy,0.0109890
Reconstructive Surgical Procedures,0.0379620
Curative Surgery,0.1928072
Operative Surgical Procedures,0.0009990
Mastectomy,0.0379620
Modified radical mastectomy,0.0099900
Operative Surgical Procedures,0.0099900
Modified radical mastectomy,0.0049950
Modified radical mastectomy,0.0109890
halstead mastectomy,0.1928072
Local excision,0.1928072
Palliative Surgery,0.0379620
Peripheral Stem Cell Transplantation,0.1928072
Modified radical mastectomy,0.0079920
Local excision,0.0379620
Lymph Node Dissection,0.1928072
Lymph node excision,0.1928072
Bone Marrow Transplantation,0.1928072
Reexcision,0.0379620
Breast surgery,0.0099900
Hematopoietic Stem Cell Transplantation,0.1928072
"Surgical Procedures, Minor",0.1928072
Bone Marrow Transplantation,0.0419580
Breast surgery,0.0129870
adrenal transplantation,0.1928072
Lung excision,0.0379620
Endocrine Surgical Procedures,0.1928072
Simple mastectomy,0.0379620
Breast surgery,0.0009990
Transplantation,0.0419580
Hematopoietic Stem Cell Transplantation,0.0419580
Axillary Lymph Node Dissection,0.0049950
Lymph node excision,0.0049950
Breast surgery,0.0049950
"Surgical Procedures, Endoscopic",0.1928072
Axillary Lymph Node Dissection,0.0129870
"INSTRUMENT, BIOPSY",0.1928072
Reexcision,0.1928072
"Transplantation, Autologous",0.0109890
Neck Dissection,0.1928072
Axillary Lymph Node Dissection,0.0379620
Curative Surgery,0.0099900
Cosmetic surgery,0.0099900
Axillary Lymph Node Dissection,0.0099900
Breast surgery,0.0419580
Excision,0.0099900
Reconstructive Surgical Procedures,0.0109890
Operative Surgical Procedures,0.0109890
Local excision,0.0099900
"Transplantation, Autologous",0.1928072
Breast-Conserving Surgery,0.0379620
Excision of neoplasm,0.0099900
Breast-Conserving Surgery,0.0079920
Complete excision,0.0099900
"Transplantation, Autologous",0.0419580
Breast-Conserving Surgery,0.0129870
Quadrantectomy,0.0129870
Lumpectomy of breast,0.0129870
Bypass surgery,0.0009990
Breast-Conserving Surgery,0.0099900
Reconstructive Surgical Procedures,0.0049950
Operative Surgical Procedures,0.0079920
Bilateral mastectomy,0.0079920
Curative Surgery,0.0129870
Cryosurgery,0.0419580
Transplantation,0.1928072
Excision,0.0049950
Dissection,0.0129870
Local excision,0.0129870
"Thoracic Surgery, Video-Assisted",0.1928072
Segmental Mastectomy,0.0129870
Peripheral Stem Cell Transplantation,0.0379620
Surgical Clips,0.1928072
Modified radical mastectomy,0.0379620
Microsurgical anastomosis,0.1928072
major surgery,0.1928072
Bariatric Surgery,0.1928072
Repeat Surgery,0.0099900
Bilateral mastectomy,0.0009990
Surgical repair,0.1928072
Cryosurgery,0.0099900
Reconstructive Surgical Procedures,0.0129870
Reconstructive Surgical Procedures,0.0099900
Surgical Replantation,0.1928072
cancer surgery,0.1928072
Dissection,0.0049950
Oncoplastic Partial Mastectomy/Lumpectomy with Oncoplastic Closure,0.1928072
Prophylactic Mastectomy,0.1928072
Breast-Conserving Surgery,0.0000000
Segmental Mastectomy,0.0439560
Breast-Conserving Surgery,0.0059940
"Mastectomy, Subcutaneous",0.1928072
Operative Surgical Procedures,0.0289710
Excision of axillary lymph nodes group,0.1928072
Skin sparing mastectomy,0.1928072
"Mastectomy, Radical",0.1928072
Breast-Conserving Surgery,0.0009990
Segmental Mastectomy,0.0009990
"Mastectomy, Radical",0.0099900
Simple mastectomy,0.0019980
Reconstructive Surgical Procedures,0.0009990
Simple mastectomy,0.0129870
"Mastectomy, Subcutaneous",0.0000000
Bilateral mastectomy,0.0019980
Mastectomy,0.0019980
Segmental Mastectomy,0.0059940
Curative Surgery,0.0089910
Segmental Mastectomy,0.0089910
Cryosurgery,0.0059940
Breast-Conserving Surgery,0.0439560
Segmental Mastectomy,0.0000000
Wide excision,0.1928072
Excision,0.0019980
Partial excision,0.1928072
Mastectomy,0.0079920
Excision of axillary lymph nodes group,0.0439560
Mastectomy,0.0059940
Complete excision,0.1928072
Mastectomy,0.0439560
Operative Surgical Procedures,0.0019980
Excision of axillary lymph nodes group,0.0059940
Elective Surgical Procedures,0.1928072
Mastectomy,0.0000000
"Mastectomy, Subcutaneous",0.0129870
Minimally Invasive Surgical Procedures,0.1928072
Excision of axillary lymph nodes group,0.0000000
Breast-Conserving Surgery,0.0139860
Cryosurgery,0.0000000
Operative Surgical Procedures,0.0000000
Reexcision,0.0129870
Contralateral Prophylactic Mastectomy,0.0019980
"Mastectomy, Subcutaneous",0.0009990
Operative Surgical Procedures,0.0439560
Lymph node excision,0.0009990
Breast-Conserving Surgery,0.0019980
Operative Surgical Procedures,0.0089910
Curative Surgery,0.0439560
Radical excision,0.1928072
Contralateral Prophylactic Mastectomy,0.1928072
Complete Lymph Node Dissection,0.1928072
Ultrasonic dissection,0.1928072
Segmental Mastectomy,0.0379620
Surgical Navigation Systems,0.1928072
radical mastectomy,0.0109890
Surgical Manipulation,0.1928072
Lumpectomy of breast,0.1928072
Extended radical mastectomy,0.0379620
Total excision of pancreas NOS,0.0009990
Bilateral mastectomy,0.0379620
Breast surgery,0.0379620
Peripheral Stem Cell Transplantation,0.0419580
Reconstructive Surgical Procedures,0.0419580
Extended radical mastectomy,0.0099900
Simple mastectomy,0.0099900
Modified radical mastectomy,0.0129870
Lung excision,0.0419580
Dissection,0.0419580
Dissection,0.0009990
Segmental Mastectomy,0.0099900
Lung excision,0.1928072
Gynecologic Surgical Procedures,0.1928072
Bone Marrow Transplantation,0.0379620
Breast surgery,0.0109890
Plastic Surgical Procedures,0.0079920
Reconstructive Surgical Procedures,0.0079920
Preventive surgery,0.1928072
Ambulatory Surgical Procedures,0.1928072
Unnecessary Surgery,0.1928072
Complete excision,0.0129870
Repeat Surgery,0.0129870
Lymph node excision,0.0109890
Repeat Surgery,0.1928072
Complete excision,0.0049950
Excision,0.0000000
Total excision of stomach NOS,0.0049950
Contralateral Prophylactic Mastectomy,0.0000000
Additional Surgical Procedure,0.0129870
Sentinel Lymph Node Dissection,0.0059940
Cryosurgery,0.0129870
Operative Surgical Procedures,0.0059940
Conventional Surgery,0.0079920
"Mastectomy, Radical",0.0089910
Bilateral mastectomy,0.0129870
Operative Surgical Procedures,0.0139860
Excision of axillary lymph nodes group,0.0009990
Breast-Conserving Surgery,0.0109890
surgical section,0.0439560
cancer surgery,0.0129870
Patey Mastectomy,0.1928072
Skin sparing mastectomy,0.0059940
Excision of axillary lymph nodes group,0.0139860
Modified radical mastectomy,0.0289710
Shaving - surgical procedure,0.1928072
Modified radical mastectomy,0.0439560
