title,factuality_score
Renin-angiotensin system inhibition,0.0049950
Recurrent Breast Cancer,0.0049950
Inflammation,0.0049950
Untranslated Regions,0.0049950
Positron-Emission Tomography,0.0049950
Radionuclide Imaging,0.0049950
Composition,0.0049950
Alcohol consumption,0.0049950
Alcohol consumption,0.0009990
Co-morbid conditions,0.0049950
Detection,0.0049950
Supplementation,0.0049950
cell invasion,0.0049950
Cyclooxygenase 2 Inhibitors,0.0049950
"Anesthesia, Conduction",0.0049950
Dietary Modification,0.0049950
polyphenols,0.0049950
CENPN,0.0049950
Combined Modality Therapy,0.0049950
Physical activity,0.0049950
stanniocalcin 2,0.0049950
preference,0.0049950
Lymphedema,0.0049950
tibolone,0.0049950
Diet,0.0049950
Vegetables,0.0049950
Endometrial Hyperplasia,0.0049950
Positive Lymph Node,0.0049950
Anisotropy,0.0049950
adjuvant therapy,0.0049950
Levonorgestrel,0.0049950
Diphosphonates,0.0049950
Mammographic breast density,0.0049950
Body Weight decreased,0.0049950
Biological Factors,0.0049950
Study models,0.0049950
Anesthesia procedures,0.0049950
Menstrual cycle,0.0049950
Analgesics,0.0049950
Pregnancy,0.0049950
Verbal,0.0049950
Rheumatoid Arthritis,0.0049950
Adverse effects,0.0049950
Alcoholic Beverages,0.0049950
Myocardial Ischemia,0.0049950
Bariatric Surgery,0.0049950
CETN1,0.0049950
Carotenoids,0.0049950
"9,10-Dimethyl-1,2-benzanthracene",0.0049950
Prognostic Factor,0.0049950
MRE11,0.0049950
Symptoms,0.0049950
response,0.0049950
Worried,0.0049950
Glucocorticoids,0.0049950
Behavior,0.0049950
SPSB1,0.0049950
Score,0.0009990
intraoperative radiotherapy,0.0049950
teleocalcin,0.0049950
caveolin 1,0.0049950
Overweight,0.0049950
regular physical activity,0.0049950
Mammaplasty,0.0049950
Hyperglycemia,0.0049950
LECT2,0.0049950
Tobacco use,0.0049950
Sentinel Lymph Node Biopsy,0.0049950
Therapeutic procedure,0.0049950
Fruit intake,0.0049950
Insulin Resistance,0.0049950
Weight Gain,0.0049950
Performance,0.0049950
Adrenergic beta-Antagonists,0.0049950
Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.0049950
Methotrexate,0.0049950
VEGFA,0.0049950
no positive axillary nodes,0.0049950
TAG 12,0.0049950
May-Hegglin anomaly,0.0049950
Opioids,0.0049950
Digoxin,0.0049950
Aspirin,0.0049950
tomography,0.0049950
Systemic Therapy,0.0049950
RANTES|CCL5,0.0049950
OPRM1,0.0049950
PREDICTED,0.0049950
SNAI1,0.0049950
Silicon,0.0049950
Prior Therapy,0.0049950
"Diet, Fat-Restricted",0.0049950
patient characteristics,0.0049950
thiopurine,0.0049950
SABER,0.0049950
Fruit,0.0049950
Biological Markers,0.0009990
