title,factuality_score
TWIST1 gene|TWIST1,0.0049950
Recurrent Breast Cancer,0.0049950
PLAUR gene|PLAUR,0.0049950
CYP2D6 gene|CYP2D6,0.0049950
FADS1 gene|FADS1,0.0009990
NTRK2 gene|NTRK2,0.0049950
PAWR gene|PAWR,0.0049950
Genes,0.0049950
TP53 gene|TP53,0.0049950
XRCC5 gene|XRCC5,0.0049950
Candidate Disease Gene,0.0009990
ENPP1 gene|ENPP1,0.0009990
LRRC3B gene|LRRC3B,0.0049950
SOD2 gene|SOD2,0.0049950
CYP1A1 gene|CYP1A1,0.0049950
ERBB2 gene|ERBB2,0.0049950
FABP4 gene|FABP4,0.0009990
NCOA1 gene|NCOA1,0.0049950
"Transcription, Genetic",0.0049950
MDH2 gene|MDH2,0.0009990
NOTCH1 gene,0.0049950
PTK2B gene|PTK2B,0.0049950
IRF2 gene|IRF2,0.0049950
AR gene|AR,0.0049950
IMPACT gene,0.0009990
"Obesity, Morbid",0.0049950
Obesity,0.0049950
Alkaline Phosphatase,0.0049950
erbB-2 Receptor|ERBB2,0.0009990
"Nuclear Receptor Subfamily 4, Group A, Member 1",0.0049950
p21-activated kinase 1|CDKN1A|TCEAL1|NSG1|H3F3AP6,0.0049950
Natural Products,0.0049950
nuclear receptor coactivator 1|SRC,0.0049950
Cytochrome P-450 CYP2D6,0.0049950
