title,factuality_score
Endocrine therapy,0.0429570
Recurrent Breast Cancer,0.0429570
Therapeutic procedure,0.0429570
adjuvant therapy,0.0429570
Cancer Treatment,0.0429570
Operative Surgical Procedures,0.0429570
Breast-Conserving Surgery,0.0429570
Radiation therapy,0.0429570
Oestrogen therapy,0.0429570
Treatment Protocols,0.0429570
Maintenance therapy,0.0429570
Pharmacotherapy,0.0429570
Mastectomy,0.0429570
Bariatric Surgery,0.0429570
Hormone replacement therapy,0.0429570
Proto-Oncogene Protein pp60 (c-src)|SRC,0.0429570
Retinoids,0.0429570
Aromatase Inhibitors,0.0429570
exemestane,0.0429570
UCHL1 Antigens,0.0429570
Diphosphonates,0.0429570
zoledronic acid,0.0429570
Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.0429570
Prevention,0.0429570
AR gene|AR,0.0429570
letrozole,0.0429570
celecoxib,0.0429570
Niacinamide,0.0429570
MAP2K1 gene|MAP2K1,0.0429570
LRRC3B gene|LRRC3B,0.0429570
anastrozole,0.0429570
FOXM1,0.0429570
Insulin|INS,0.0429570
Carotenoids,0.0429570
Booster,0.0429570
trastuzumab,0.0429570
IGF1 gene|IGF1,0.0429570
"Anti-Inflammatory Agents, Non-Steroidal",0.0429570
oleocanthal,0.0429570
cancer care,0.0429570
Placebos,0.0429570
cyclooxygenase 2,0.0429570
Insulin-Like Growth Factor I,0.0429570
ferric oxide,0.0429570
Phosphotransferases,0.0019980
PAWR gene|PAWR,0.0429570
Antidepressive Agents,0.0429570
Fluorouracil,0.0429570
Basin,0.0429570
