PREDICATION_ID,SENTENCE_ID,PMID,PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,SUBJECT_NOVELTY,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,OBJECT_NOVELTY,unk1,unk2,unk3
20940496,4907554,27726213,PART_OF,C0598034|675,BRCA2 gene|BRCA2,gngm,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
24763963,11174621,27741099,TREATS,C0013216,Pharmacotherapy,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
24764030,11174621,27741099,TREATS,C0013216,Pharmacotherapy,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
24764071,11174621,27741099,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
26014791,13635235,27747042,TREATS,C0034618,Radiation therapy,topp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
67137575,121293417,18971122,PREVENTS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
67137576,121293417,18971122,PREVENTS,C0851344,exemestane,phsu,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
72195159,18733338,24432457,USES,C0040808,Treatment Protocols,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
72360669,19092715,17688504,DIAGNOSES,C0796368,clonality,diap,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
72418265,19197425,24851607,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
72492845,19346245,23725994,ASSOCIATED_WITH,C0872172,fluorodeoxyglucose,carb,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
72768398,19897766,23691479,COEXISTS_WITH,C0006142,Malignant neoplasm of breast,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
72768809,19898649,23691479,COEXISTS_WITH,C0678222,Breast Carcinoma,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
72847817,20075526,23083611,COEXISTS_WITH,C0020538,Hypertensive disease,dsyn,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
72989352,20378677,24435584,COEXISTS_WITH,C1273869,Intervention regimes,hlca,0,C0281189,breast cancer prevention,topp,1,\N,\N,\N
73075744,20559483,24982380,DIAGNOSES,C1318309,Core needle biopsy,diap,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
73157798,20717502,26259752,PREVENTS,C0024881,Mastectomy,topp,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
73255512,20912624,25081374,PART_OF,C0440744,Human tissue,tisu,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
73355983,21116043,23920325,METHOD_OF,C0596473,Early Diagnosis,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
73455332,4646095,25435366,ASSOCIATED_WITH,C0529134|6767,"ST13 protein, human|ST13",aapp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
73460209,21334740,25115342,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
73711062,5361734,26543760,LOCATION_OF,C1140618,Upper Extremity,bpoc,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
73711086,5361734,26543760,LOCATION_OF,C1140618,Upper Extremity,bpoc,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
73813787,22058907,23696929,ASSOCIATED_WITH,C0017337,Genes,gngm,0,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
73919794,5914154,26200374,LOCATION_OF,C1456613,Health System,hcro,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
74161163,22779241,24344401,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
74282289,23035657,24728578,TREATS,C0013216,Pharmacotherapy,topp,1,C0278489,stage IIIA breast cancer,neop,1,\N,\N,\N
74367907,23215375,16601279,USES,C0282461,"Clinical Trials, Phase III",resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
74374235,6867214,25246518,METHOD_OF,C0024487,Magnetic Resonance Spectroscopy,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
74378099,23236178,23632998,USES,C0008972,Clinical Research,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
74589909,23666814,23700865,METHOD_OF,C1273869,Intervention regimes,hlca,0,C0281189,breast cancer prevention,topp,1,\N,\N,\N
74778795,7627726,26203367,METHOD_OF,C0024671,Mammography,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
74778868,7627726,26203367,METHOD_OF,C0025086,Medical Imaging,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
74806068,24126001,24283956,USES,C0557034,Assisting,hlca,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
74873485,24257509,23800027,DISRUPTS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
75082238,8171639,26204645,DIAGNOSES,C0041618,Ultrasonography,diap,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
75196522,24921015,26518021,NEG_TREATS,C0543467,Operative Surgical Procedures,topp,1,C0278513,stage IIIB breast cancer,neop,1,\N,\N,\N
75234876,25002800,23541693,USES,C0040808,Treatment Protocols,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
75377200,25302242,16605057,PREDISPOSES,C0039082,Syndrome,dsyn,0,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
75686339,25946765,24898994,COEXISTS_WITH,C0029463,osteosarcoma,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
75855160,26285488,24605901,TREATS,C0085533,"Chemotherapy, Adjuvant",topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
75855194,26285488,24605901,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
75990136,26564847,23607036,PRECEDES,C0087111,Therapeutic procedure,topp,0,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
76048848,9925296,25445503,PART_OF,C1292533,Tissue specimen,tisu,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76048878,9925296,25445503,PART_OF,C1519521,"Tissue, Fresh",tisu,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76048904,9925296,25445503,DIAGNOSES,C0021044,Immunohistochemistry,lbpr,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76049158,9925949,25445503,TREATS,C0087111,Therapeutic procedure,topp,0,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76138416,26871998,26239694,PRECEDES,C0006142,Malignant neoplasm of breast,neop,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
76138448,26871998,26239694,PREDISPOSES,C0560175,Carrier of disorder,fndg,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
76222703,27038853,23835592,TREATS,C0085533,"Chemotherapy, Adjuvant",topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76223000,27039291,23835592,TREATS,C0013216,Pharmacotherapy,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76223060,27039291,23835592,TREATS,C0024881,Mastectomy,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76274452,27156306,24800917,LOCATION_OF,C0006141,Breast,bpoc,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
76325023,27254720,24224123,ASSOCIATED_WITH,C0300821,Phosphatidylethanolamine Binding Protein,aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76361603,27326339,23640240,TREATS,C0013216,Pharmacotherapy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
76361650,27326339,23640240,TREATS,C0191877,Bilateral mastectomy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
76361682,27326339,23640240,TREATS,C0279025,Endocrine therapy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
76361705,27326339,23640240,TREATS,C0524865,Reconstructive Surgical Procedures,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
76391838,27374246,26491359,USES,C0184661,Procedures,hlca,0,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
76462843,27524094,23900300,ASSOCIATED_WITH,C1120843,mitogen-activated protein kinase p38,aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
76504639,27610154,23900440,METHOD_OF,C0024671,Mammography,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
76881135,28385056,24997077,METHOD_OF,C0034606,Radionuclide Imaging,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
76894246,28411499,16611311,TREATS,C0013216,Pharmacotherapy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
77897750,30496291,23358794,USES,C0038951,Surveys,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
77897880,30496581,23358794,METHOD_OF,C0150600,Advice,hlca,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
78019431,30752317,23359191,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
78258374,31264883,24328073,TREATS,C1511790,Detection,topp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
78324089,31394905,23812730,COEXISTS_WITH,C0686619,Secondary malignant neoplasm of lymph node,neop,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
78390320,31533795,25197413,TREATS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
78390840,31534861,25197413,TREATS,C0039286,Tamoxifen,phsu,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
78419950,31584770,24519389,PREDISPOSES,C0599986,Encounter due to genetic counseling,fndg,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
78488694,31725080,24583847,AFFECTS,C0162493,Transcriptional Activation,genf,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
78555332,31860030,27711910,PREVENTS,C0677850,adjuvant therapy,topp,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
78682715,32139512,25166949,LOCATION_OF,C1456613,Health System,hcro,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
78699786,32172641,25068699,LOCATION_OF,C0006141,Breast,bpoc,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
78826078,32431516,24005135,COEXISTS_WITH,C0006142,Malignant neoplasm of breast,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
78864131,32506988,23972507,TREATS,C0024881,Mastectomy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
79040241,32862813,23169924,METHOD_OF,C0013216,Pharmacotherapy,topp,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
79078349,32950996,24069582,METHOD_OF,C0087111,Therapeutic procedure,topp,0,C0281189,breast cancer prevention,topp,1,\N,\N,\N
79124803,33035349,24363083,ASSOCIATED_WITH,57822,GRHL3,gngm,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
79155870,33104291,24236052,ASSOCIATED_WITH,C0812222|4193,MDM2 gene|MDM2,gngm,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
79155963,33104419,24236052,TREATS,C0728940,Excision,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
79156366,33105272,24236052,ASSOCIATED_WITH,C0812222|4193,MDM2 gene|MDM2,gngm,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
79250800,33294169,25426270,PREDISPOSES,C0013227,Pharmaceutical Preparations,phsu,0,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
79561908,33936488,23397025,USES,C0008972,Clinical Research,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
79577753,33962153,24879617,COEXISTS_WITH,C0686619,Secondary malignant neoplasm of lymph node,neop,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
79608619,34030326,24782612,COEXISTS_WITH,C1334274,Invasive Carcinoma,neop,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
79608676,34030326,24782612,COEXISTS_WITH,C0027651,Neoplasm,neop,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
79853236,34514962,24492834,PART_OF,C0376571|672,BRCA1 gene|BRCA1,gngm,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
80168756,35179403,24107814,TREATS,C0191877,Bilateral mastectomy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
80294533,35452867,24882343,DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
81224222,37466291,9391536,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
81437699,2942804,8734833,PRECEDES,C0006142,Malignant neoplasm of breast,neop,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
81438123,2943637,8734833,NEG_DIAGNOSES,C0920737,breast cancer diagnosis,diap,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
81495040,37914792,644282,COEXISTS_WITH,C0031269,Peutz-Jeghers Syndrome,dsyn,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
81612215,38130962,8373226,TREATS,C0021439,Intra-Arterial Infusions,topp,1,C0278513,stage IIIB breast cancer,neop,1,\N,\N,\N
81612330,38130962,8373226,TREATS,C0013216,Pharmacotherapy,topp,1,C0278513,stage IIIB breast cancer,neop,1,\N,\N,\N
