PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category
AFFECTS,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone
PREDISPOSES,FGFR2 gene|FGFR2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome
CAUSES,BRCA1 gene|BRCA1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome
PREDISPOSES,NDUFB3|TNFAIP1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,Hormones,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone
AUGMENTS,RAD51,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Mutation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope"
AFFECTS,Topotecan,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,ACSL4,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,MicroRNAs,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide"
PREDISPOSES,Body mass index,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Metabolites,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
CAUSES,anthracene,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other
PREDISPOSES,"oxoguanine glycosylase 1, human",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide"
CAUSES,Malignant Neoplasms,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process
AFFECTS,Topoisomerase,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Enzyme
CAUSES,Methylcholanthrene,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other
PREDISPOSES,Cadmium,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Inorganic Chemical
DISRUPTS,Medroxyprogesterone 17-Acetate,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone
PREDISPOSES,C-reactive protein level,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein"
AFFECTS,Cell Proliferation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope"
AFFECTS,Carcinoma of the Large Intestine,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process
AFFECTS,Phytoestrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone
AUGMENTS,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone
PREDISPOSES,Single Nucleotide Polymorphism,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide"
AUGMENTS,CD44 gene|CD44,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome
AFFECTS,Cell Cycle Progression,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope"
CAUSES,Hormones,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone
AFFECTS,Vitamin D,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Food
PREDISPOSES,Estrogen Receptor Status,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein"
PREDISPOSES,MTRR,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AUGMENTS,MTA2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Growth,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Pregnancy,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AUGMENTS,DYRK2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
DISRUPTS,Velcade,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Carcinogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hazardous or Poisonous Substance
PREDISPOSES,Hormone replacement therapy,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone
CAUSES,Insulin-Like-Growth Factor I Receptor,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Biologically Active Substance
PREDISPOSES,lycopene,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,SMURF1,Breast cancer metastatic,0.0279720279720279,Female Breast Cancer,Other
PREDISPOSES,Metabolic Diseases,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Disease or Syndrome
CAUSES,"DNA, Mitochondrial",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide"
AFFECTS,polyphenols,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,Obesity,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Etodolac,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AUGMENTS,MST1R gene|MST1R,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome
AFFECTS,Lactation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope"
AFFECTS,Interleukin-6,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,Estrogen Receptors,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein"
PREDISPOSES,Well in self,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
CAUSES,Human Papillomavirus,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Virus
DISRUPTS,1-Phosphatidylinositol 3-Kinase,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Androgens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AUGMENTS,TARBP2,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other
PREDISPOSES,Tobacco smoke,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,Annexin A2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,RAD51,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
CAUSES,BCL9 gene|BCL9,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome
CAUSES,Genes,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome
PREDISPOSES,GATA3,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other
PREDISPOSES,CHEK2 gene|CHEK2,Carcinoma of Male Breast,0.0049950049950049,Male Breast Cancer,Gene or Genome
PREDISPOSES,beta-cryptoxanthin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,response,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
PREDISPOSES,Physical activity,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,Signal Pathways,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AUGMENTS,TARBP2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,SELENOP,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
AFFECTS,polyphenols,Breast cancer recurrent,0.0049950049950049,Recurrent Breast Cancer,Other
PREDISPOSES,Weight Gain,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other
