PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category,text
AFFECTS,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Estrogens Malignant neoplasm of breast
PREDISPOSES,FGFR2 gene|FGFR2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,FGFR2 gene|FGFR2 Malignant neoplasm of breast
CAUSES,BRCA1 gene|BRCA1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,BRCA1 gene|BRCA1 Malignant neoplasm of breast
PREDISPOSES,Hormones,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Hormones Malignant neoplasm of breast
AFFECTS,Mutation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Mutation Malignant neoplasm of breast
AFFECTS,MicroRNAs,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",MicroRNAs Malignant neoplasm of breast
PREDISPOSES,"oxoguanine glycosylase 1, human",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide","oxoguanine glycosylase 1, human Malignant neoplasm of breast"
CAUSES,Malignant Neoplasms,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Malignant Neoplasms Malignant neoplasm of breast
AFFECTS,Topoisomerase,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Enzyme,Topoisomerase Breast Carcinoma
PREDISPOSES,Cadmium,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Inorganic Chemical,Cadmium Malignant neoplasm of breast
DISRUPTS,Medroxyprogesterone 17-Acetate,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Medroxyprogesterone 17-Acetate Malignant neoplasm of breast
PREDISPOSES,C-reactive protein level,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",C-reactive protein level Malignant neoplasm of breast
AFFECTS,Cell Proliferation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Cell Proliferation Malignant neoplasm of breast
AFFECTS,Carcinoma of the Large Intestine,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Carcinoma of the Large Intestine Malignant neoplasm of breast
AFFECTS,Phytoestrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Phytoestrogens Malignant neoplasm of breast
AUGMENTS,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Estrogens Malignant neoplasm of breast
PREDISPOSES,Single Nucleotide Polymorphism,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",Single Nucleotide Polymorphism Malignant neoplasm of breast
AUGMENTS,CD44 gene|CD44,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,CD44 gene|CD44 Malignant neoplasm of breast
AFFECTS,Cell Cycle Progression,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Cell Cycle Progression Malignant neoplasm of breast
