PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category
DIAGNOSES,Biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Core needle biopsy,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer,Biopsy
DIAGNOSES,Needle biopsy procedure,Breast Carcinoma,0.0509490509490509,Female Breast Cancer,Biopsy
DIAGNOSES,Mammography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Imaging
DIAGNOSES,Sentinel Lymph Node Biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Biopsy,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer,Biopsy
DIAGNOSES,Genetic screening method,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Early Diagnosis
DIAGNOSES,Fine needle aspiration biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Core needle biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Transbronchial lung biopsy,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer,Biopsy
DIAGNOSES,Fine needle aspiration biopsy,Breast Carcinoma,0.0509490509490509,Female Breast Cancer,Biopsy
DIAGNOSES,Biopsy,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer,Biopsy
DIAGNOSES,Needle biopsy procedure,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Mass Screening,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Early Diagnosis
DIAGNOSES,Mammography,Breast Carcinoma,0.0509490509490509,Female Breast Cancer,Imaging
DIAGNOSES,Drill biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Biopsy,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer,Biopsy
DIAGNOSES,Excision biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Surgical biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Biopsy
DIAGNOSES,Mammography,bilateral breast cancer,0.0019980019980019,Female Breast Cancer,Imaging
DIAGNOSES,Xeromammography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Imaging
DIAGNOSES,Excision biopsy,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer,Biopsy
DIAGNOSES,Genetic Screening,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Early Diagnosis
DIAGNOSES,Mammography,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer,Imaging
DIAGNOSES,Doppler Ultrasound,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer,Imaging
DIAGNOSES,Core needle biopsy,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer,Biopsy
DIAGNOSES,Fine needle aspiration biopsy,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer,Biopsy
DIAGNOSES,Sentinel Lymph Node Biopsy,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer,Biopsy
