PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category
PREVENTS,Therapeutic procedure,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,Gonadal Steroid Hormones,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Hormonal Treatments
PREVENTS,Estrogen Antagonists,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Hormonal Treatments
PREVENTS,Vaccines,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Vaccines
PREVENTS,Mastectomy,Contralateral breast cancer,0.0149850149850149,Female Breast Cancer,Medical Procedures
PREVENTS,Chemotherapeutic agent,Breast cancer metastatic,0.0399600399600399,Female Breast Cancer,Medications
PREVENTS,Selective Estrogen Receptor Modulators,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Hormonal Treatments
PREVENTS,"Radiotherapy, Adjuvant",Noninfiltrating Intraductal Carcinoma,0.0099900099900099,Female Breast Cancer,Medical Procedures
PREVENTS,Local Therapy,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,Tamoxifen,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Hormonal Treatments
PREVENTS,Pharmaceutical Preparations,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medications
METHOD_OF,Therapeutic procedure,breast cancer prevention,0.0279720279720279,Other,Medical Procedures
PREVENTS,Dietary restriction NOS,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Lifestyle Factors
PREVENTS,Therapeutic procedure,Noninfiltrating Intraductal Carcinoma,0.0099900099900099,Female Breast Cancer,Medical Procedures
PREVENTS,Vitamin D,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Supplements
PREVENTS,Chemotherapeutic agent,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medications
PREVENTS,Bilateral mastectomy,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,"Diet, Fat-Restricted",Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Lifestyle Factors
PREVENTS,Estrogen Replacement Therapy,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,Prophylactic treatment,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,Breast neoplasm screening,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Screening and Monitoring
PREVENTS,Mastectomy,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,Therapeutic procedure,Breast Carcinoma,0.0469530469530469,Female Breast Cancer,Medical Procedures
PREVENTS,Estrogen Receptors,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Hormonal Treatments
PREVENTS,Selective Estrogen Receptor Modulators,Breast Carcinoma,0.0469530469530469,Female Breast Cancer,Hormonal Treatments
PREVENTS,Tamoxifen,Contralateral breast cancer,0.0149850149850149,Female Breast Cancer,Hormonal Treatments
PREVENTS,Tamoxifen,Breast cancer invasive NOS,0.0099900099900099,Female Breast Cancer,Hormonal Treatments
PREVENTS,Vitamin E,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Supplements
PREVENTS,Selective Estrogen Receptor Modulators,Contralateral breast cancer,0.0149850149850149,Female Breast Cancer,Hormonal Treatments
PREVENTS,Endocrine therapy,Breast cancer recurrent,0.0239760239760239,Recurrent Breast Cancer,Medical Procedures
PREVENTS,"Fatty Acids, Omega-3",Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Supplements
NEG_PREVENTS,Tamoxifen,Breast Carcinoma,0.0469530469530469,Female Breast Cancer,Hormonal Treatments
PREVENTS,Screening mammography,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Screening and Monitoring
PREVENTS,Operative Surgical Procedures,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,Phytoestrogens,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Hormonal Treatments
NEG_PREVENTS,Oestrogen therapy,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medical Procedures
PREVENTS,Tamoxifen,Breast cancer recurrent,0.0239760239760239,Recurrent Breast Cancer,Hormonal Treatments
PREVENTS,Tamoxifen,Noninfiltrating Intraductal Carcinoma,0.0099900099900099,Female Breast Cancer,Hormonal Treatments
NEG_PREVENTS,Vitamin D,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Supplements
PREVENTS,Metformin,Malignant neoplasm of breast,0.3146853146853147,Female Breast Cancer,Medications
