PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category
TREATS,trastuzumab|ERBB2,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Targeted Therapy
TREATS,Tamoxifen,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Hormone Therapy
TREATS,Immunologic Adjuvants,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Immunotherapy
TREATS,Autologous Stem Cell Transplantation,Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Surgery
TREATS,Adriamycin,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Chemotherapy
TREATS,Excision,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,trastuzumab,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Targeted Therapy
TREATS,Hormone replacement therapy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Hormone Therapy
TREATS,Immunologic Adjuvants,"Carcinoma, Ductal, Breast",0.0049950049950049,Female Breast Cancer,Immunotherapy
TREATS,adjuvant therapy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Adjuvant Therapy
TREATS,Doxorubicin,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Chemotherapy
TREATS,Pharmacotherapy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Pharmacotherapy
TREATS,Cytotoxic agent,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Chemotherapy
TREATS,lapatinib,Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Targeted Therapy
TREATS,Breast-Conserving Surgery,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,Pharmacotherapy,Sporadic Breast Carcinoma,0.0,Female Breast Cancer,Pharmacotherapy
TREATS,Cyclophosphamide,Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Chemotherapy
TREATS,Mastectomy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,Operative Surgical Procedures,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,Phytoestrogens,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Hormone Therapy
TREATS,Liposomal Doxorubicin,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Chemotherapy
TREATS,Radiation therapy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Radiotherapy
TREATS,Endocrine therapy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Endocrine Therapy
TREATS,Radiation therapy,Breast cancer invasive NOS,0.0099900099900099,Female Breast Cancer,Radiotherapy
TREATS,Cryosurgery,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,Tamoxifen,Breast cancer recurrent,0.0219780219780219,Recurrent Breast Cancer,Hormone Therapy
TREATS,"Estrogens, Synthetic",Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Hormone Therapy
TREATS,Anthracyclines,Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Chemotherapy
TREATS,Breast surgery,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,Pharmaceutical Preparations,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Pharmacotherapy
TREATS,"Chemotherapy, Adjuvant",Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Chemotherapy
TREATS,Pharmacotherapy,Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Pharmacotherapy
TREATS,Drug Delivery Systems,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Pharmacotherapy
TREATS,Bilateral mastectomy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,Modified radical mastectomy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Surgery
TREATS,Operative Surgical Procedures,Noninfiltrating Intraductal Carcinoma,0.0129870129870129,Female Breast Cancer,Surgery
TREATS,Chinese herbal medicine,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Alternative Therapy
TREATS,Aromatase Inhibitors,Breast Carcinoma,0.0379620379620379,Female Breast Cancer,Hormone Therapy
TREATS,Mastectomy,Noninfiltrating Intraductal Carcinoma,0.0129870129870129,Female Breast Cancer,Surgery
TREATS,trastuzumab,Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Targeted Therapy
TREATS,Neoadjuvant Therapy,Malignant neoplasm of breast,0.1928071928071928,Female Breast Cancer,Adjuvant Therapy
TREATS,Endocrine therapy,Breast cancer metastatic,0.0419580419580419,Female Breast Cancer,Endocrine Therapy
