PREDICATE,SUBJECT_NAME,OBJECT_NAME,cause_category,factuality_score,Factuality_Score,Cancer_Type
AFFECTS,Estrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,FGFR2 gene|FGFR2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387,Female Breast Cancer
CAUSES,BRCA1 gene|BRCA1,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,NDUFB3|TNFAIP1,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,Hormones,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AUGMENTS,RAD51,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Mutation,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Topotecan,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,ACSL4,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,MicroRNAs,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,Body mass index,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Metabolites,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
CAUSES,anthracene,Breast Carcinoma,Other,0.0,0.0279720279720279,Female Breast Cancer
PREDISPOSES,"oxoguanine glycosylase 1, human",Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
CAUSES,Malignant Neoplasms,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Topoisomerase,Breast Carcinoma,Other,0.0,0.0279720279720279,Female Breast Cancer
CAUSES,Methylcholanthrene,Breast Carcinoma,Other,0.0,0.0279720279720279,Female Breast Cancer
PREDISPOSES,Cadmium,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
DISRUPTS,Medroxyprogesterone 17-Acetate,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,C-reactive protein level,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Cell Proliferation,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Carcinoma of the Large Intestine,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Phytoestrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387,Female Breast Cancer
AUGMENTS,Estrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,Single Nucleotide Polymorphism,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AUGMENTS,CD44 gene|CD44,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Cell Cycle Progression,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
CAUSES,Hormones,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Vitamin D,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,Estrogen Receptor Status,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,MTRR,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AUGMENTS,MTA2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Growth,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Pregnancy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AUGMENTS,DYRK2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
DISRUPTS,Velcade,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
AFFECTS,Carcinogens,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,Hormone replacement therapy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
CAUSES,Insulin-Like-Growth Factor I Receptor,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
PREDISPOSES,lycopene,Malignant neoplasm of breast,Other,0.0,0.3386613386613387,Female Breast Cancer
